"100hz: Time (s)","100hz: Current (A)","100hz: Potential (V)","250hz: Time (s)","250hz: Current (A)","250hz: Potential (V)","400hz: Time (s)","400hz: Current (A)","400hz: Potential (V)","550hz: Time (s)","550hz: Current (A)","550hz: Potential (V)","700hz: Time (s)","700hz: Current (A)","700hz: Potential (V)","850hz: Time (s)","850hz: Current (A)","850hz: Potential (V)","1000hz: Time (s)","1000hz: Current (A)","1000hz: Potential (V)"
0,0.0090217590332,1.65939331055,0,0.00627517700195,-2.00519561768,0,-0.0442123413086,0.908851623535,0,-0.0232124328613,-2.05383300781,0,-0.0883102416992,-0.97827911377,0,0.074405670166,-1.41277313232,0,0.116081237793,1.11846923828
0.001,0.00110626220703,2.10914611816,0.0001,0.0108528137207,-1.90200805664,0.0001,-0.049991607666,0.416564941406,0.0001,0.000190734863281,-2.12688446045,0.0001,-0.0642776489258,-1.68018341064,0.0001,0.108165740967,-0.440406799316,0.0001,0.0537300109863,1.89952850342
0.002,-0.00709533691406,1.75666809082,0.0002,0.0151062011719,-1.75609588623,0.0002,-0.0524139404297,-0.0999450683594,0.0002,0.023307800293,-1.9567489624,0.0002,-0.0268745422363,-2.06909179688,0.0002,0.109691619873,0.638389587402,0.0002,-0.0244331359863,1.92985534668
0.003,-0.0116539001465,0.738716125488,0.0003,0.0199699401855,-1.56764984131,0.0003,-0.0527191162109,-0.613594055176,0.0003,0.0449180603027,-1.56764984131,0.0003,0.0135803222656,-2.06909179688,0.0003,0.0792694091797,1.53789520264,0.0003,-0.0916481018066,1.20964050293
0.004,-0.0131797790527,-0.537490844727,0.0004,0.0236129760742,-1.33380889893,0.0004,-0.0493812561035,-1.09672546387,0.0004,0.0619506835938,-0.996398925781,0.0004,0.0494766235352,-1.68323516846,0.0004,0.025749206543,1.99680328369,0.0004,-0.128154754639,0.0123977661133
0.005,-0.00862121582031,-1.61323547363,0.0005,0.0272750854492,-1.06639862061,0.0005,-0.0414657592773,-1.5100479126,0.0005,0.0725936889648,-0.300598144531,0.0005,0.0777626037598,-0.984191894531,0.0005,-0.0302124023438,1.87816619873,0.0005,-0.119018554688,-1.20296478271
0.006,-0.000400543212891,-2.04181671143,0.0006,0.0303077697754,-0.78067779541,0.0006,-0.0302124023438,-1.83811187744,0.0006,0.0732040405273,0.398254394531,0.0006,0.0935745239258,-0.112152099609,0.0006,-0.0782775878906,1.23100280762,0.0006,-0.0569725036621,-1.98097229004
0.007,0.00688552856445,-1.67102813721,0.0007,0.0318336486816,-0.461578369141,0.0007,-0.0177383422852,-2.04772949219,0.0007,0.0646781921387,1.06086730957,0.0007,0.0887107849121,0.76904296875,0.0007,-0.107173919678,0.225067138672,0.0007,0.0254440307617,-2.0112991333
0.008,0.0126647949219,-0.640869140625,0.0008,0.0336647033691,-0.136375427246,0.0008,-0.00436782836914,-2.12993621826,0.0008,0.0485610961914,1.59568786621,0.0008,0.0662040710449,1.50756835938,0.0008,-0.108985900879,-0.847434997559,0.0008,0.093879699707,-1.2882232666
0.009,0.0132751464844,0.574684143066,0.0009,0.0336647033691,0.185585021973,0.0009,0.00871658325195,-2.08740234375,0.0009,0.0263595581055,1.92375183105,0.0009,0.0309181213379,1.94511413574,0.0009,-0.0764465332031,-1.70440673828,0.0009,0.131282806396,-0.0938415527344
0.01,0.0090217590332,1.65328979492,0.001,0.0330543518066,0.516891479492,0.001,0.0202751159668,-1.90200805664,0.001,0.00141143798828,2.03628540039,0.001,-0.00831604003906,2.00271606445,0.001,-0.0198745727539,-2.09941864014,0.001,0.116081237793,1.15203857422
0.011,0.00141143798828,2.10304260254,0.0011,0.0321388244629,0.823783874512,0.0011,0.0318336486816,-1.61628723145,0.0011,-0.0207901000977,1.88426971436,0.0011,-0.0436019897461,1.66854858398,0.0011,0.0370025634766,-1.90811157227,0.0011,0.0534248352051,1.90258026123
0.012,-0.00648498535156,1.75361633301,0.0012,0.0303077697754,1.11541748047,0.0012,0.041561126709,-1.22737884521,0.0012,-0.0417709350586,1.51042938232,0.0012,-0.072193145752,1.00612640381,0.0012,0.0847625732422,-1.21517181396,0.0012,-0.0247383117676,1.93901062012
0.013,-0.0119590759277,0.738716125488,0.0013,0.0266647338867,1.3858795166,0.0013,0.0488662719727,-0.753402709961,0.0013,-0.0588035583496,0.957489013672,0.0013,-0.0901412963867,0.149154663086,0.0013,0.111522674561,-0.18196105957,0.0013,-0.0922584533691,1.20964050293
0.014,-0.013484954834,-0.540542602539,0.0014,0.021800994873,1.61991119385,0.0014,0.0537300109863,-0.24585723877,0.0014,-0.0694465637207,0.279808044434,0.0014,-0.0910377502441,-0.741195678711,0.0014,0.105743408203,0.878524780273,0.0014,-0.128154754639,0.0154495239258
0.015,-0.00892639160156,-1.61018371582,0.0015,0.018138885498,1.80835723877,0.0015,0.0534248352051,0.267601013184,0.0015,-0.0724983215332,-0.428199768066,0.0015,-0.0731086730957,-1.50699615479,0.0015,0.0680160522461,1.69277191162,0.0015,-0.119018554688,-1.19400024414
0.016,-0.000400543212891,-2.03876495361,0.0016,0.0144958496094,1.96323394775,0.0016,0.0512886047363,0.772094726562,0.0016,-0.0676345825195,-1.09367370605,0.0016,-0.0390434265137,-1.99928283691,0.0016,0.0117492675781,2.02713012695,0.0016,-0.0563812255859,-1.98097229004
0.017,0.00749588012695,-1.66492462158,0.0017,0.0096321105957,2.06050872803,0.0017,0.0443077087402,1.2279510498,0.0017,-0.0524139404297,-1.64680480957,0.0017,0.00324249267578,-2.1146774292,0.0017,-0.0423812866211,1.77192687988,0.0017,0.0251388549805,-2.00519561768
0.018,0.0123596191406,-0.634765625,0.0018,0.00354766845703,2.11524963379,0.0018,0.0345611572266,1.60160064697,0.0018,-0.0299072265625,-2.00519561768,0.0018,0.0400352478027,-1.828956604,0.0018,-0.0870895385742,1.01528167725,0.0018,0.0932693481445,-1.28211975098
0.019,0.0132751464844,0.580596923828,0.0019,-0.000705718994141,2.11524963379,0.0019,0.023307800293,1.86595916748,0.0019,-0.00406265258789,-2.12688446045,0.0019,0.0704574584961,-1.21822357178,0.0019,-0.109596252441,-0.0270843505859,0.0019,0.131282806396,-0.0879287719727
0.02,0.0090217590332,1.65634155273,0.002,-0.00709533691406,2.06661224365,0.002,0.0105476379395,2.0149230957,0.002,0.019359588623,-2.0112991333,0.002,0.0908279418945,-0.373458862305,0.002,-0.104427337646,-1.07841491699,0.002,0.116996765137,1.12152099609
0.021,0.00110626220703,2.10304260254,0.0021,-0.0104522705078,1.96628570557,0.0021,-0.00223159790039,2.03628540039,0.0021,0.0412559509277,-1.64966583252,0.0021,0.0911331176758,0.522994995117,0.0021,-0.0648880004883,-1.84421539307,0.0021,0.0531196594238,1.89952850342
0.022,-0.00648498535156,1.75666809082,0.0022,-0.013484954834,1.81446075439,0.0022,-0.0140953063965,1.91459655762,0.0022,0.0595092773438,-1.10893249512,0.0022,0.0747108459473,1.31607055664,0.0022,-0.00648498535156,-2.11772918701,0.0022,-0.0247383117676,1.9359588623
0.023,-0.0119590759277,0.741767883301,0.0023,-0.0198745727539,1.62601470947,0.0023,-0.0253486633301,1.686668396,0.0023,0.0710678100586,-0.446510314941,0.0023,0.0421714782715,1.85089111328,0.0023,0.0561714172363,-1.71051025391,0.0023,-0.0916481018066,1.20964050293
0.024,-0.014705657959,-0.543594360352,0.0024,-0.0232124328613,1.39198303223,0.0024,-0.0356864929199,1.33113861084,0.0024,0.0735092163086,0.270652770996,0.0024,0.00232696533203,2.02713012695,0.0024,0.0941848754883,-0.996398925781,0.0024,-0.128154754639,0.0185012817383
0.025,-0.00862121582031,-1.61628723145,0.0025,-0.0256538391113,1.12762451172,0.0025,-0.0442123413086,0.899696350098,0.0025,0.0671195983887,0.945281982422,0.0025,-0.0326538085938,1.79615020752,0.0025,0.113639831543,0.0701904296875,0.0025,-0.119934082031,-1.19705200195
0.026,0.000190734863281,-2.04772949219,0.0026,-0.0289916992188,0.835990905762,0.0026,-0.049991607666,0.413513183594,0.0026,0.0518989562988,1.50756835938,0.0026,-0.0654983520508,1.21879577637,0.0026,0.0993537902832,1.09729766846,0.0026,-0.0563812255859,-1.97486877441
0.027,0.0071907043457,-1.67407989502,0.0027,-0.0314331054688,0.529098510742,0.0027,-0.0518035888672,-0.106048583984,0.0027,0.0303077697754,1.88426971436,0.0027,-0.086784362793,0.407409667969,0.0027,0.0555610656738,1.81751251221,0.0027,0.0263595581055,-2.00824737549
0.028,0.0120544433594,-0.634765625,0.0028,-0.0338745117188,0.191688537598,0.0028,-0.0530242919922,-0.622749328613,0.0028,0.0059700012207,2.03323364258,0.0028,-0.0925636291504,-0.580215454102,0.0028,-0.00223159790039,2.0149230957,0.0028,0.092658996582,-1.28517150879
0.029,0.0132751464844,0.577545166016,0.0029,-0.0323486328125,-0.127410888672,0.0029,-0.0502967834473,-1.10282897949,0.0029,-0.0171279907227,1.92985534668,0.0029,-0.081615447998,-1.31549835205,0.0029,-0.0545501708984,1.62906646729,0.0029,0.131587982178,-0.0879287719727
0.03,0.00871658325195,1.65634155273,0.003,-0.0320434570312,-0.452423095703,0.003,-0.0423812866211,-1.51596069336,0.003,-0.0378227233887,1.59854888916,0.003,-0.0493812561035,-1.8928527832,0.003,-0.0940895080566,0.787353515625,0.003,0.116081237793,1.12152099609
0.031,0.00110626220703,2.10304260254,0.0031,-0.032958984375,-0.765419006348,0.0031,-0.029296875,-1.84421539307,0.0031,-0.0581932067871,0.987815856934,0.0031,-0.0104522705078,-2.12688446045,0.0031,-0.111427307129,-0.291442871094,0.0031,0.0534248352051,1.90258026123
0.032,-0.00648498535156,1.75666809082,0.0032,-0.0299072265625,-1.05724334717,0.0032,-0.0183486938477,-2.05383300781,0.0032,-0.0682258605957,0.410461425781,0.0032,0.0296974182129,-1.95064544678,0.0032,-0.0986480712891,-1.29718780518,0.0032,-0.0244331359863,1.92985534668
