"100hz: Time (s)","100hz: Current (A)","100hz: Potential (V)","200hz: Time (s)","200hz: Current (A)","200hz: Potential (V)","300Hz: Time (s)","300Hz: Current (A)","300Hz: Potential (V)","400Hz: Time (s)","400Hz: Current (A)","400Hz: Potential (V)","500hz: Time (s)","500hz: Current (A)","500hz: Potential (V)","600Hz: Time (s)","600Hz: Current (A)","600Hz: Potential (V)","700Hz: Time (s)","700Hz: Current (A)","700Hz: Potential (V)","800Hz: Time (s)","800Hz: Current (A)","800Hz: Potential (V)","900Hz: Time (s)","900Hz: Current (A)","900Hz: Potential (V)","1000Hz: Time (s)","1000Hz: Current (A)","1000Hz: Potential (V)","1100Hz: Time (s)","1100Hz: Current (A)","1100Hz: Potential (V)","1200Hz: Time (s)","1200Hz: Current (A)","1200Hz: Potential (V)","1300Hz: Time (s)","1300Hz: Current (A)","1300Hz: Potential (V)"
0,-0.0179100036621,-0.0127792358398,0,0.0341033935547,-0.100898742676,0,-0.0869369506836,0.0541687011719,0,-0.102767944336,0.0511169433594,0,0.0748634338379,0.0389099121094,0,0.0234603881836,-0.103759765625,0,0.0882530212402,0.0358581542969,0,-0.0680923461914,0.0844955444336,0,0.046272277832,0.0755310058594,0,-0.044059753418,-0.0795364379883,0,-0.0291633605957,-0.0825881958008,0,0.01220703125,0.0844955444336,0,-0.0172996520996,-0.0764846801758
0.0001,-0.0197219848633,-0.0127792358398,0.0001,0.0404930114746,-0.0978469848633,0.0001,-0.0978851318359,0.0450134277344,0.0001,-0.108547210693,0.0572204589844,0.0001,0.0359344482422,0.0358581542969,0.0001,0.0626945495605,-0.100898742676,0.0001,0.0922012329102,0.0358581542969,0.0001,-0.024585723877,0.0844955444336,0.0001,-0.00482559204102,0.0694274902344,0.0001,-0.00360488891602,-0.0825881958008,0.0001,-0.0534820556641,-0.0856399536133,0.0001,0.0429344177246,0.0875473022461,0.0001,-0.038890838623,-0.0734329223633
0.0002,-0.0215530395508,-0.0127792358398,0.0002,0.0465774536133,-0.0978469848633,0.0002,-0.106716156006,0.0419616699219,0.0002,-0.109443664551,0.0602722167969,0.0002,-0.0106048583984,0.0358581542969,0.0002,0.0894546508789,-0.106811523438,0.0002,0.0815582275391,0.0328063964844,0.0002,0.029239654541,0.0755310058594,0.0002,-0.0568389892578,0.0663757324219,0.0002,0.0423240661621,-0.0856399536133,0.0002,-0.0510597229004,-0.0734329223633,0.0002,0.0453567504883,0.0844955444336,0.0002,-0.0328063964844,-0.0673294067383
0.0003,-0.0233840942383,-0.0156402587891,0.0003,0.0523567199707,-0.0947952270508,0.0003,-0.113716125488,0.0358581542969,0.0003,-0.1051902771,0.0633239746094,0.0003,-0.0556182861328,0.0358581542969,0.0003,0.101928710938,-0.103759765625,0.0003,0.053882598877,0.0268936157227,0.0003,0.0699996948242,0.0783920288086,0.0003,-0.0890731811523,0.0633239746094,0.0003,0.063304901123,-0.0856399536133,0.0003,-0.0309753417969,-0.0612258911133,0.0003,0.0246810913086,0.0844955444336,0.0003,-0.0130271911621,-0.0612258911133
0.0004,-0.0255012512207,-0.00972747802734,0.0004,0.0578308105469,-0.0978469848633,0.0004,-0.117053985596,0.0389099121094,0.0004,-0.0957679748535,0.0724792480469,0.0004,-0.0890731811523,0.0299453735352,0.0004,0.101318359375,-0.103759765625,0.0004,0.00978469848633,0.0328063964844,0.0004,0.0870323181152,0.0724792480469,0.0004,-0.0930213928223,0.0572204589844,0.0004,0.0578308105469,-0.0856399536133,0.0004,0.000953674316406,-0.0431060791016,0.0004,-0.0130271911621,0.0844955444336,0.0004,0.0149536132812,-0.0612258911133
0.0005,-0.0273323059082,-0.0156402587891,0.0005,0.0642204284668,-0.0978469848633,0.0005,-0.118579864502,0.0328063964844,0.0005,-0.0805473327637,0.0755310058594,0.0005,-0.111885070801,0.0328063964844,0.0005,0.0885581970215,-0.100898742676,0.0005,-0.0413131713867,0.0268936157227,0.0005,0.0839805603027,0.0663757324219,0.0005,-0.0729560852051,0.0602722167969,0.0005,0.0359344482422,-0.0886917114258,0.0005,0.0356292724609,-0.0127792358398,0.0005,-0.0489234924316,0.0844955444336,0.0005,0.0322914123535,-0.0581741333008
0.0006,-0.0291633605957,-0.00972747802734,0.0006,0.0693893432617,-0.0947952270508,0.0006,-0.114326477051,0.0328063964844,0.0006,-0.0571441650391,0.0724792480469,0.0006,-0.123748779297,0.0358581542969,0.0006,0.0596618652344,-0.0978469848633,0.0006,-0.0863265991211,0.0268936157227,0.0006,0.0642204284668,0.0633239746094,0.0006,-0.0325012207031,0.0480651855469,0.0006,-0.00604629516602,-0.0886917114258,0.0006,0.0490188598633,-0.000572204589844,0.0006,-0.0553131103516,0.0844955444336,0.0006,0.0240707397461,-0.0553131103516
0.0007,-0.0312805175781,-0.0127792358398,0.0007,0.0748634338379,-0.0978469848633,0.0007,-0.106105804443,0.0328063964844,0.0007,-0.0291633605957,0.0755310058594,0.0007,-0.125274658203,0.0299453735352,0.0007,0.0143432617188,-0.0978469848633,0.0007,-0.112495422363,0.0268936157227,0.0007,0.0283241271973,0.0633239746094,0.0007,0.0198173522949,0.0541687011719,0.0007,-0.0534820556641,-0.0917434692383,0.0007,0.0389671325684,0.00858306884766,0.0007,-0.0361442565918,0.0814437866211,0.0007,0.00278472900391,-0.0553131103516
0.0008,-0.0325012207031,-0.0127792358398,0.0008,0.0797271728516,-0.0947952270508,0.0008,-0.0933265686035,0.0299453735352,0.0008,0.000343322753906,0.0755310058594,0.0008,-0.120391845703,0.0268936157227,0.0008,-0.0355339050293,-0.0886917114258,0.0008,-0.116443634033,0.0238418579102,0.0008,-0.0215530395508,0.0602722167969,0.0008,0.063304901123,0.0419616699219,0.0008,-0.0738716125488,-0.0886917114258,0.0008,0.0115966796875,0.0207901000977,0.0008,-0.00146865844727,0.0814437866211,0.0008,-0.0273323059082,-0.0492095947266
0.0009,-0.0346374511719,-0.0127792358398,0.0009,0.0830841064453,-0.0947952270508,0.0009,-0.0750732421875,0.0328063964844,0.0009,0.029239654541,0.0814437866211,0.0009,-0.107021331787,0.0268936157227,0.0009,-0.0805473327637,-0.0825881958008,0.0009,-0.1051902771,0.0328063964844,0.0009,-0.0662612915039,0.0602722167969,0.0009,0.084285736084,0.0389099121094,0.0009,-0.0668716430664,-0.0856399536133,0.0009,-0.0279426574707,0.0268936157227,0.0009,0.0389671325684,0.0755310058594,0.0009,-0.042839050293,-0.0461578369141
