"100hz: Time (s)","100hz: Current (A)","100hz: Potential (V)","250hz: Time (s)","250hz: Current (A)","250hz: Potential (V)","400hz: Time (s)","400hz: Current (A)","400hz: Potential (V)","550hz: Time (s)","550hz: Current (A)","550hz: Potential (V)","700hz: Time (s)","700hz: Current (A)","700hz: Potential (V)","850hz: Time (s)","850hz: Current (A)","850hz: Potential (V)","1000hz: Time (s)","1000hz: Current (A)","1000hz: Potential (V)"
0,0.0484085083008,0.315475463867,0,0.0690841674805,1.7650604248,0,-0.0799560546875,-0.222396850586,0,0.0636100769043,-0.112915039062,0,0.0359344482422,1.95636749268,0,-0.0395011901855,0.99925994873,0,0.00339508056641,1.91688537598
0.0001,0.0411033630371,0.200080871582,0.0001,0.0830841064453,1.8590927124,0.0001,-0.059871673584,0.260734558105,0.0001,0.0407981872559,-0.790596008301,0.0001,0.0596618652344,1.7406463623,0.0001,-0.00724792480469,1.73149108887,0.0001,0.0353240966797,1.83486938477
0.0002,0.0331878662109,0.0844955444336,0.0002,0.0949478149414,1.91993713379,0.0002,-0.0370597839355,0.728797912598,0.0002,0.0131225585938,-1.36795043945,0.0002,0.070915222168,1.18465423584,0.0002,0.0265121459961,1.97772979736,0.0002,0.0532722473145,1.0326385498
0.0003,0.0255966186523,-0.0308990478516,0.0003,0.104064941406,1.92604064941,0.0003,-0.0127220153809,1.1510848999,0.0003,-0.0166893005371,-1.79042816162,0.0003,0.0678634643555,0.388336181641,0.0003,0.0520515441895,1.65252685547,0.0003,0.0493240356445,-0.185966491699
0.0004,0.0176811218262,-0.146293640137,0.0004,0.111064910889,1.88655853271,0.0004,0.0128173828125,1.49459838867,0.0004,-0.045280456543,-2.01511383057,0.0004,0.051441192627,-0.480651855469,0.0004,0.062084197998,0.862503051758,0.0004,0.0246810913086,-1.34963989258
0.0005,0.0100898742676,-0.261878967285,0.0005,0.11531829834,1.8045425415,0.0005,0.0365447998047,1.7406463623,0.0005,-0.0690078735352,-1.99699401855,0.0005,0.0243759155273,-1.28288269043,0.0005,0.0541877746582,-0.185966491699,0.0005,-0.00968933105469,-2.01511383057
0.0006,0.00156402587891,-0.37727355957,0.0006,0.117454528809,1.67980194092,0.0006,0.0584411621094,1.87435150146,0.0006,-0.0848197937012,-1.75685882568,0.0006,-0.00785827636719,-1.83582305908,0.0006,0.0295448303223,-1.19781494141,0.0006,-0.0425338745117,-1.92108154297
0.0007,-0.00574111938477,-0.492858886719,0.0007,0.116233825684,1.50661468506,0.0007,0.0766944885254,1.88655853271,0.0007,-0.0912094116211,-1.31015777588,0.0007,-0.038890838623,-2.05173492432,0.0007,-0.00329971313477,-1.87549591064,0.0007,-0.059871673584,-1.11274719238
0.0008,-0.0136375427246,-0.605201721191,0.0008,0.111064910889,1.30310058594,0.0008,0.089168548584,1.77707672119,0.0008,-0.0875473022461,-0.714683532715,0.0008,-0.0641250610352,-1.88751220703,0.0008,-0.036449432373,-2.05478668213,0.0008,-0.0556182861328,0.0936508178711
0.0009,-0.0215530395508,-0.711631774902,0.0009,0.104675292969,1.06601715088,0.0009,0.0964546203613,1.55830383301,0.0009,-0.0723457336426,-0.0461578369141,0.0009,-0.076904296875,-1.36795043945,0.0009,-0.0604820251465,-1.66263580322,0.0009,-0.0312805175781,1.25751495361
