"50: Time (s)","50: Current (A)","50: Potential (V)","100: Time (s)","100: Current (A)","100: Potential (V)","150: Time (s)","150: Current (A)","150: Potential (V)","200: Time (s)","200: Current (A)","200: Potential (V)","250: Time (s)","250: Current (A)","250: Potential (V)","300: Time (s)","300: Current (A)","300: Potential (V)","350: Time (s)","350: Current (A)","350: Potential (V)","400: Time (s)","400: Current (A)","400: Potential (V)","450: Time (s)","450: Current (A)","450: Potential (V)","500: Time (s)","500: Current (A)","500: Potential (V)","550: Time (s)","550: Current (A)","550: Potential (V)","600: Time (s)","600: Current (A)","600: Potential (V)","650: Time (s)","650: Current (A)","650: Potential (V)","700: Time (s)","700: Current (A)","700: Potential (V)","750: Time (s)","750: Current (A)","750: Potential (V)","800: Time (s)","800: Current (A)","800: Potential (V)","850: Time (s)","850: Current (A)","850: Potential (V)","900: Time (s)","900: Current (A)","900: Potential (V)","950: Time (s)","950: Current (A)","950: Potential (V)","1000: Time (s)","1000: Current (A)","1000: Potential (V)","1050: Time (s)","1050: Current (A)","1050: Potential (V)","1100: Time (s)","1100: Current (A)","1100: Potential (V)","1150: Time (s)","1150: Current (A)","1150: Potential (V)","1200: Time (s)","1200: Current (A)","1200: Potential (V)","1250: Time (s)","1250: Current (A)","1250: Potential (V)","1300: Time (s)","1300: Current (A)","1300: Potential (V)"
0,0.00408172607422,0.00400543212891,0,0.011043548584,-0.00209808349609,0,-0.0125885009766,-0.00820159912109,0,-0.0253295898438,-0.0143051147461,0,0.0295257568359,-0.0293731689453,0,-0.0304794311523,0.000953674316406,0,0.00377655029297,-0.0293731689453,0,0.039234161377,-0.0293731689453,0,0.036506652832,-0.0354766845703,0,0.080451965332,-0.0173568725586,0,-0.0580596923828,-0.0173568725586,0,-0.104122161865,-0.0173568725586,0,0.0965118408203,-0.00514984130859,0,-0.105934143066,0.00686645507812,0,-0.0274467468262,0.00400543212891,0,-0.0592613220215,-0.0143051147461,0,-0.0647163391113,-0.0263214111328,0,-0.0337982177734,0.00400543212891,0,0.0728607177734,-0.0263214111328,0,-0.0835037231445,-0.0173568725586,0,-0.0871467590332,0.00991821289062,0,-0.0907897949219,-0.00209808349609,0,-0.00865936279297,-0.0173568725586,0,0.0686264038086,-0.0263214111328,0,0.0625610351562,-0.0143051147461,0,0.018310546875,-0.0415802001953
0.0001,0.00436782836914,0.00400543212891,0.0001,0.00831604003906,-0.00209808349609,0.0001,-0.0144195556641,-0.00514984130859,0.0001,-0.0271415710449,-0.0143051147461,0.0001,0.0331687927246,-0.0324249267578,0.0001,-0.0365257263184,0.00400543212891,0.0001,-0.00955581665039,-0.0293731689453,0.0001,0.053768157959,-0.0324249267578,0.0001,0.0125503540039,-0.0324249267578,0.0001,0.0952911376953,-0.0263214111328,0.0001,-0.0277519226074,-0.0202178955078,0.0001,-0.086841583252,-0.0202178955078,0.0001,0.0859069824219,-0.00514984130859,0.0001,-0.0956344604492,0.00686645507812,0.0001,-0.0744247436523,0.00400543212891,0.0001,-0.00925064086914,-0.0173568725586,0.0001,-0.0189590454102,-0.0354766845703,0.0001,-0.082893371582,0.00686645507812,0.0001,0.0252914428711,-0.0202178955078,0.0001,-0.0416946411133,-0.0263214111328,0.0001,-0.0668334960938,0.000953674316406,0.0001,-0.0595664978027,-0.0143051147461,0.0001,-0.0544166564941,-0.0232696533203,0.0001,0.0228691101074,-0.0202178955078,0.0001,0.0561904907227,-0.00514984130859,0.0001,0.0613594055176,-0.0354766845703
0.0002,0.00497817993164,0.00400543212891,0.0002,0.00892639160156,-0.00209808349609,0.0002,-0.0162315368652,-0.00820159912109,0.0002,-0.0280570983887,-0.0143051147461,0.0002,0.0368118286133,-0.0354766845703,0.0002,-0.0407791137695,0.00400543212891,0.0002,-0.0228881835938,-0.0293731689453,0.0002,0.0643730163574,-0.0324249267578,0.0002,-0.0113868713379,-0.0324249267578,0.0002,0.101356506348,-0.0232696533203,0.0002,0.00650405883789,-0.0232696533203,0.0002,-0.0577545166016,-0.0232696533203,0.0002,0.0595283508301,-0.00514984130859,0.0002,-0.0650215148926,0.00400543212891,0.0002,-0.107746124268,0.00686645507812,0.0002,0.0419616699219,-0.0232696533203,0.0002,0.0349807739258,-0.0354766845703,0.0002,-0.109882354736,-0.00209808349609,0.0002,-0.0307846069336,-0.0143051147461,0.0002,0.0155830383301,-0.0263214111328,0.0002,-0.0183486938477,-0.00514984130859,0.0002,-0.0056266784668,-0.0143051147461,0.0002,-0.0689697265625,-0.0263214111328,0.0002,-0.0325965881348,-0.0173568725586,0.0002,0.012264251709,0.00400543212891,0.0002,0.071964263916,-0.0324249267578
0.0003,0.00497817993164,0.00400543212891,0.0003,0.00831604003906,-0.00209808349609,0.0003,-0.0180435180664,-0.00820159912109,0.0003,-0.0280570983887,-0.0173568725586,0.0003,0.0389289855957,-0.0293731689453,0.0003,-0.0419807434082,0.000953674316406,0.0003,-0.0353240966797,-0.0263214111328,0.0003,0.0716590881348,-0.0324249267578,0.0003,-0.0341033935547,-0.0263214111328,0.0003,0.0995445251465,-0.0202178955078,0.0003,0.0416564941406,-0.0293731689453,0.0003,-0.0201606750488,-0.0263214111328,0.0003,0.0207328796387,0.000953674316406,0.0003,-0.0216865539551,-0.00514984130859,0.0003,-0.119876861572,0.00400543212891,0.0003,0.0810432434082,-0.0232696533203,0.0003,0.0828742980957,-0.0415802001953,0.0003,-0.106544494629,-0.00209808349609,0.0003,-0.0789642333984,-0.0173568725586,0.0003,0.0655937194824,-0.0263214111328,0.0003,0.0407409667969,-0.00514984130859,0.0003,0.0486183166504,-0.0143051147461,0.0003,-0.0438117980957,-0.0354766845703,0.0003,-0.0677490234375,-0.0232696533203,0.0003,-0.0447082519531,0.00686645507812,0.0003,0.0389289855957,-0.0263214111328
0.0004,0.00558853149414,0.00400543212891,0.0004,0.00709533691406,-0.00514984130859,0.0004,-0.0192642211914,-0.00514984130859,0.0004,-0.0280570983887,-0.0143051147461,0.0004,0.0404357910156,-0.0354766845703,0.0004,-0.0435066223145,0.00400543212891,0.0004,-0.0462341308594,-0.0263214111328,0.0004,0.0749969482422,-0.0354766845703,0.0004,-0.052604675293,-0.0263214111328,0.0004,0.0883293151855,-0.0232696533203,0.0004,0.0704383850098,-0.0293731689453,0.0004,0.0198364257812,-0.0324249267578,0.0004,-0.0228881835938,0.000953674316406,0.0004,0.0264930725098,-0.00514984130859,0.0004,-0.10835647583,0.000953674316406,0.0004,0.097713470459,-0.0202178955078,0.0004,0.109539031982,-0.0415802001953,0.0004,-0.0744247436523,-0.00820159912109,0.0004,-0.0968360900879,-0.0202178955078,0.0004,0.087718963623,-0.0263214111328,0.0004,0.0843811035156,-0.00209808349609,0.0004,0.0765037536621,-0.0112533569336,0.0004,0.00892639160156,-0.0385284423828,0.0004,-0.0635147094727,-0.0324249267578,0.0004,-0.0807762145996,0.000953674316406,0.0004,-0.015926361084,-0.0173568725586
0.0005,0.00650405883789,-0.00209808349609,0.0005,0.00650405883789,-0.00514984130859,0.0005,-0.0201606750488,-0.0112533569336,0.0005,-0.0286483764648,-0.0173568725586,0.0005,0.0404357910156,-0.0354766845703,0.0005,-0.0404739379883,0.00400543212891,0.0005,-0.0562286376953,-0.0232696533203,0.0005,0.0728607177734,-0.0354766845703,0.0005,-0.0653266906738,-0.0263214111328,0.0005,0.0689315795898,-0.0202178955078,0.0005,0.0901412963867,-0.0354766845703,0.0005,0.0571060180664,-0.0293731689453,0.0005,-0.0653266906738,0.00400543212891,0.0005,0.0704383850098,-0.0112533569336,0.0005,-0.0792694091797,-0.00209808349609,0.0005,0.0883293151855,-0.0202178955078,0.0005,0.108623504639,-0.0354766845703,0.0005,-0.023193359375,-0.0143051147461,0.0005,-0.0831985473633,-0.0263214111328,0.0005,0.0789260864258,-0.0143051147461,0.0005,0.0931739807129,0.000953674316406,0.0005,0.0668144226074,-0.00209808349609,0.0005,0.0628662109375,-0.0385284423828,0.0005,-0.0213813781738,-0.0354766845703,0.0005,-0.0738143920898,-0.00820159912109,0.0005,-0.0595664978027,-0.0232696533203
0.0006,0.00680923461914,0.00400543212891,0.0006,0.00558853149414,-0.00514984130859,0.0006,-0.0210762023926,-0.0112533569336,0.0006,-0.0262260437012,-0.0173568725586,0.0006,0.0407409667969,-0.0354766845703,0.0006,-0.0362396240234,0.00400543212891,0.0006,-0.0595664978027,-0.0202178955078,0.0006,0.0658988952637,-0.0354766845703,0.0006,-0.0716972351074,-0.0232696533203,0.0006,0.0422668457031,-0.0173568725586,0.0006,0.10347366333,-0.0354766845703,0.0006,0.0859069824219,-0.0354766845703,0.0006,-0.0980567932129,0.00686645507812,0.0006,0.101051330566,-0.0143051147461,0.0006,-0.0313758850098,-0.00820159912109,0.0006,0.0528717041016,-0.0173568725586,0.0006,0.0810432434082,-0.0293731689453,0.0006,0.0310516357422,-0.0143051147461,0.0006,-0.0383567810059,-0.0354766845703,0.0006,0.0358963012695,-0.00820159912109,0.0006,0.0674057006836,0.00686645507812,0.0006,0.0231742858887,0.00686645507812,0.0006,0.0907516479492,-0.0385284423828,0.0006,0.0343704223633,-0.0354766845703,0.0006,-0.0301742553711,-0.0143051147461,0.0006,-0.0641059875488,-0.0324249267578
0.0007,0.00650405883789,0.000953674316406,0.0007,0.00436782836914,-0.00820159912109,0.0007,-0.0216865539551,-0.0112533569336,0.0007,-0.0244140625,-0.0173568725586,0.0007,0.0401306152344,-0.0354766845703,0.0007,-0.0313758850098,0.00686645507812,0.0007,-0.0622940063477,-0.0232696533203,0.0007,0.0528717041016,-0.0354766845703,0.0007,-0.0716972351074,-0.0263214111328,0.0007,0.0146865844727,-0.0143051147461,0.0007,0.103778839111,-0.0385284423828,0.0007,0.101356506348,-0.0354766845703,0.0007,-0.115928649902,0.00686645507812,0.0007,0.11287689209,-0.0143051147461,0.0007,0.018310546875,-0.0143051147461,0.0007,0.00497817993164,-0.0112533569336,0.0007,0.0307464599609,-0.0263214111328,0.0007,0.0728607177734,-0.0143051147461,0.0007,0.0186157226562,-0.0385284423828,0.0007,-0.0226020812988,-0.00514984130859,0.0007,0.0155830383301,0.00686645507812,0.0007,-0.0335121154785,0.00991821289062,0.0007,0.079231262207,-0.0293731689453,0.0007,0.0737762451172,-0.0324249267578,0.0007,0.0243759155273,-0.0173568725586,0.0007,-0.0259208679199,-0.0385284423828
0.0008,0.00862121582031,0.00400543212891,0.0008,0.00377655029297,-0.00820159912109,0.0008,-0.0226020812988,-0.0143051147461,0.0008,-0.0219917297363,-0.0173568725586,0.0008,0.0377082824707,-0.0354766845703,0.0008,-0.0250244140625,0.000953674316406,0.0008,-0.0622940063477,-0.0232696533203,0.0008,0.0398254394531,-0.0324249267578,0.0008,-0.0659370422363,-0.0202178955078,0.0008,-0.0153160095215,-0.0112533569336,0.0008,0.0949859619141,-0.0354766845703,0.0008,0.103778839111,-0.0354766845703,0.0008,-0.118064880371,0.00400543212891,0.0008,0.105590820312,-0.0143051147461,0.0008,0.0619506835938,-0.0143051147461,0.0008,-0.0489616394043,-0.0112533569336,0.0008,-0.0226020812988,-0.0173568725586,0.0008,0.087718963623,-0.00820159912109,0.0008,0.0713539123535,-0.0385284423828,0.0008,-0.0738143920898,-0.00209808349609,0.0008,-0.0416946411133,0.00991821289062,0.0008,-0.0789642333984,0.00686645507812,0.0008,0.0334739685059,-0.0202178955078,0.0008,0.0755882263184,-0.0202178955078,0.0008,0.0598335266113,-0.00820159912109,0.0008,0.0286293029785,-0.0446319580078
0.0009,0.00923156738281,0.00400543212891,0.0009,0.00286102294922,-0.00820159912109,0.0009,-0.0250244140625,-0.0112533569336,0.0009,-0.0192642211914,-0.0173568725586,0.0009,0.0343704223633,-0.0354766845703,0.0009,-0.0180435180664,0.00400543212891,0.0009,-0.058650970459,-0.0202178955078,0.0009,0.0222587585449,-0.0354766845703,0.0009,-0.0535011291504,-0.0202178955078,0.0009,-0.0425910949707,-0.00820159912109,0.0009,0.0755882263184,-0.0354766845703,0.0009,0.0928688049316,-0.0354766845703,0.0009,-0.102596282959,0.00400543212891,0.0009,0.0801467895508,-0.0112533569336,0.0009,0.0901412963867,-0.0173568725586,0.0009,-0.092601776123,-0.0112533569336,0.0009,-0.0686645507812,-0.0173568725586,0.0009,0.0713539123535,-0.00209808349609,0.0009,0.0995445251465,-0.0354766845703,0.0009,-0.0989723205566,-0.00514984130859,0.0009,-0.0771522521973,0.00991821289062,0.0009,-0.0889587402344,0.000953674316406,0.0009,-0.0222969055176,-0.0232696533203,0.0009,0.0386238098145,-0.0143051147461,0.0009,0.0522613525391,0.00400543212891,0.0009,0.0668144226074,-0.0354766845703
