n_voters,n_alternatives,p_no_winner
2,1,0.0
3,1,0.0
1,2,0.0
1,3,0.0
1,1,0.0
3,2,0.0
1,4,0.0
2,2,0.508
3,3,0.056
4,1,0.0
5,2,0.0
5,1,0.0
2,3,0.6632
1,5,0.0
3,4,0.122
1,9,0.0
4,2,0.3724
6,1,0.0
2,4,0.7392
2,7,0.8696
1,6,0.0
2,5,0.812
6,3,0.4972
7,1,0.0
1,7,0.0
8,1,0.0
7,3,0.0724
2,9,0.8836
4,3,0.5628
3,6,0.2008
6,2,0.3144
2,6,0.8448
9,1,0.0
1,8,0.0
10,1,0.0
5,3,0.0692
7,2,0.0
11,1,0.0
4,4,0.6604
3,5,0.1548
8,2,0.2844
12,1,0.0
1,10,0.0
2,8,0.8812
5,6,0.2452
9,2,0.0
5,4,0.1444
13,1,0.0
4,5,0.728
10,2,0.2444
8,3,0.4464
14,1,0.0
11,2,0.0
14,2,0.2032
16,1,0.0
6,4,0.6076
12,2,0.2276
4,8,0.8136
4,6,0.77
13,3,0.076
2,10,0.892
7,6,0.2552
3,7,0.2432
5,5,0.1952
9,3,0.0752
5,8,0.3096
7,4,0.152
13,2,0.0
10,3,0.3988
15,1,0.0
4,7,0.8052
6,5,0.6756
3,8,0.266
8,4,0.5732
7,7,0.3096
11,3,0.0752
15,3,0.0836
12,3,0.3776
14,4,0.4924
7,5,0.2156
10,6,0.6544
9,4,0.1576
3,9,0.2912
6,6,0.7264
5,10,0.3812
15,2,0.0
17,1,0.0
10,4,0.5372
8,5,0.6356
9,7,0.3304
11,4,0.1648
4,9,0.8408
5,7,0.2952
15,4,0.1528
3,10,0.306
9,5,0.2216
12,4,0.498
7,9,0.3844
7,8,0.3496
6,7,0.7508
14,3,0.3612
16,2,0.1892
4,10,0.8504
19,2,0.0
18,1,0.0
13,4,0.1672
9,8,0.3656
12,6,0.6392
11,7,0.3312
6,8,0.7668
8,6,0.6824
10,5,0.5856
18,3,0.3384
12,7,0.674
17,2,0.0
19,1,0.0
7,10,0.428
11,5,0.23
19,3,0.0892
8,10,0.796
10,9,0.7776
16,5,0.5412
20,1,0.0
9,6,0.2684
8,7,0.7372
5,9,0.3712
18,2,0.2008
16,3,0.3588
12,5,0.5716
6,9,0.808
17,3,0.0808
13,5,0.2144
14,7,0.6604
21,1,0.0
16,6,0.5936
10,10,0.7852
21,3,0.0888
12,9,0.748
6,10,0.8208
8,8,0.7448
10,7,0.708
11,6,0.2864
20,2,0.1796
22,1,0.0
23,2,0.0
20,4,0.4572
14,5,0.5704
16,4,0.4668
25,1,0.0
12,8,0.72
22,3,0.324
24,2,0.1504
23,1,0.0
21,2,0.0
8,9,0.7932
17,4,0.1664
13,6,0.282
25,2,0.0
15,5,0.2424
24,1,0.0
14,9,0.7316
10,8,0.7472
15,8,0.3944
20,3,0.3248
27,1,0.0
22,2,0.1656
18,4,0.4524
14,6,0.6328
19,6,0.2868
21,5,0.2416
9,9,0.4224
26,1,0.0
19,4,0.1636
17,5,0.232
15,6,0.2808
13,7,0.3256
11,8,0.3848
9,10,0.428
18,5,0.5268
23,3,0.0804
30,1,0.0
21,4,0.1644
28,1,0.0
21,6,0.2908
26,2,0.152
19,5,0.2224
24,5,0.5132
24,3,0.3072
28,3,0.2952
13,8,0.3812
11,9,0.4184
17,6,0.2896
29,1,0.0
27,2,0.0
15,7,0.3452
19,8,0.3876
27,3,0.0812
20,5,0.5456
25,3,0.086
14,8,0.7216
22,4,0.4304
21,7,0.358
16,7,0.6444
23,6,0.3052
23,5,0.238
27,4,0.1668
25,5,0.252
23,4,0.1624
18,6,0.59
28,2,0.1504
24,6,0.5508
12,10,0.7684
24,4,0.4396
26,3,0.3252
28,4,0.4168
16,8,0.6992
11,10,0.458
30,3,0.2856
29,2,0.0
13,9,0.4316
14,10,0.7576
17,7,0.3588
31,1,0.0
27,5,0.244
22,8,0.6672
22,5,0.5112
24,7,0.6112
20,6,0.5724
25,4,0.1712
16,10,0.7436
18,7,0.6444
30,2,0.1468
31,3,0.0944
32,2,0.1468
26,4,0.4336
13,10,0.4644
25,7,0.3588
32,1,0.0
27,6,0.3076
31,2,0.0
29,3,0.0988
15,9,0.4352
19,7,0.3592
34,2,0.1292
21,9,0.4308
16,9,0.704
17,8,0.3824
22,6,0.5904
33,1,0.0
20,7,0.6336
18,8,0.6836
34,1,0.0
23,7,0.3656
35,1,0.0
26,5,0.4844
19,10,0.454
34,3,0.2888
29,6,0.3132
25,8,0.4004
37,1,0.0
18,9,0.7128
36,2,0.134
33,2,0.0
29,4,0.1696
28,7,0.6108
15,10,0.4512
35,3,0.0788
17,9,0.4384
33,4,0.1796
22,7,0.6304
37,2,0.0
36,1,0.0
30,4,0.4092
20,8,0.6764
25,6,0.3128
34,4,0.3948
32,5,0.4736
28,5,0.4976
36,3,0.2772
25,9,0.4368
35,2,0.0
32,3,0.2844
26,6,0.5376
38,2,0.1244
30,7,0.5884
33,3,0.0796
31,4,0.1856
21,8,0.3924
29,5,0.242
19,9,0.422
34,5,0.4652
18,10,0.7412
38,1,0.0
20,9,0.6972
17,10,0.4476
32,4,0.4036
30,5,0.4964
38,3,0.278
25,10,0.4668
28,9,0.6644
28,6,0.5452
24,8,0.6472
26,7,0.598
39,1,0.0
30,8,0.628
26,9,0.6952
23,8,0.4016
36,5,0.4676
32,7,0.5848
22,9,0.7076
31,5,0.2412
40,1,0.0
20,10,0.726
28,10,0.6976
35,6,0.2924
39,2,0.0
29,9,0.4384
22,10,0.712
41,1,0.0
37,3,0.0972
27,7,0.3468
30,6,0.5452
42,2,0.1284
40,3,0.2716
37,5,0.2396
35,4,0.162
27,10,0.4748
26,8,0.6604
42,1,0.0
40,2,0.1228
35,5,0.2468
23,9,0.4324
36,4,0.388
24,9,0.6932
33,5,0.2424
42,3,0.2552
31,6,0.298
41,2,0.0
21,10,0.4692
43,1,0.0
41,4,0.1632
