"10_1: Time (s)","10_1: Force (N)","10_1: GateState","10_1: Distance (m)","10_1: Velocity (m/s)","10_1: Acceleration (m/s²)","10_2: Time (s)","10_2: Force (N)","10_2: GateState","10_2: Distance (m)","10_2: Velocity (m/s)","10_2: Acceleration (m/s²)","10_3: Time (s)","10_3: Force (N)","10_3: GateState","10_3: Distance (m)","10_3: Velocity (m/s)","10_3: Acceleration (m/s²)","20_1: Time (s)","20_1: Force (N)","20_1: GateState","20_1: Distance (m)","20_1: Velocity (m/s)","20_1: Acceleration (m/s²)","20_2: Time (s)","20_2: Force (N)","20_2: GateState","20_2: Distance (m)","20_2: Velocity (m/s)","20_2: Acceleration (m/s²)","20_3: Time (s)","20_3: Force (N)","20_3: GateState","20_3: Distance (m)","20_3: Velocity (m/s)","20_3: Acceleration (m/s²)","30_1: Time (s)","30_1: Force (N)","30_1: GateState","30_1: Distance (m)","30_1: Velocity (m/s)","30_1: Acceleration (m/s²)","30_2: Time (s)","30_2: Force (N)","30_2: GateState","30_2: Distance (m)","30_2: Velocity (m/s)","30_2: Acceleration (m/s²)","30_3: Time (s)","30_3: Force (N)","30_3: GateState","30_3: Distance (m)","30_3: Velocity (m/s)","30_3: Acceleration (m/s²)","40_1: Time (s)","40_1: Force (N)","40_1: GateState","40_1: Distance (m)","40_1: Velocity (m/s)","40_1: Acceleration (m/s²)","40_2: Time (s)","40_2: Force (N)","40_2: GateState","40_2: Distance (m)","40_2: Velocity (m/s)","40_2: Acceleration (m/s²)","40_3: Time (s)","40_3: Force (N)","40_3: GateState","40_3: Distance (m)","40_3: Velocity (m/s)","40_3: Acceleration (m/s²)","50_1: Time (s)","50_1: Force (N)","50_1: GateState","50_1: Distance (m)","50_1: Velocity (m/s)","50_1: Acceleration (m/s²)","50_2: Time (s)","50_2: Force (N)","50_2: GateState","50_2: Distance (m)","50_2: Velocity (m/s)","50_2: Acceleration (m/s²)","50_3: Time (s)","50_3: Force (N)","50_3: GateState","50_3: Distance (m)","50_3: Velocity (m/s)","50_3: Acceleration (m/s²)"
0,0.0949525207398,,,,,0,0.108279190317,,,,,0,0.088289185951,,,,,0,0.200732960511,,,,,0,0.181159414569,,,,,0,0.181159414569,,,,,0,0.266949849974,,,,,0,0.286939854341,,,,,0,0.280276519552,,,,,0,0.379810082959,,,,,0,0.339830074226,,,,,0,0.346493409015,,,,,0,0.48559052273,,,,,0,0.478927187942,,,,,0,0.478927187942,,,,
0.02,0.0949525207398,,,,,0.02,0.0949525207398,,,,,0.02,0.101615855529,,,,,0.02,0.181159414569,,,,,0.02,0.181159414569,,,,,0.02,0.181159414569,,,,,0.02,0.266949849974,,,,,0.02,0.273613184763,,,,,0.02,0.280276519552,,,,,0.02,0.379810082959,,,,,0.02,0.366483413382,,,,,0.02,0.37314674817,,,,,0.02,0.478927187942,,,,,0.02,0.465600518364,,,,,0.02,0.472263853153,,,,
0.04,0.0816258511622,,,,,0.04,0.088289185951,,,,,0.04,0.101615855529,,,,,0.04,0.2073962953,,,,,0.04,0.174496079781,,,,,0.04,0.194486084147,,,,,0.04,0.286939854341,,,,,0.04,0.266949849974,,,,,0.04,0.254039638821,,,,,0.04,0.392720294112,,,,,0.04,0.346493409015,,,,,0.04,0.346493409015,,,,,0.04,0.452273848787,,,,,0.04,0.452273848787,,,,,0.04,0.458937183575,,,,
0.06,0.101615855529,,,,,0.06,0.108279190317,,,,,0.06,0.101615855529,,,,,0.06,0.200732960511,,,,,0.06,0.181159414569,,,,,0.06,0.187822749358,,,,,0.06,0.273613184763,,,,,0.06,0.280276519552,,,,,0.06,0.266949849974,,,,,0.06,0.379810082959,,,,,0.06,0.353156743804,,,,,0.06,0.346493409015,,,,,0.06,0.478927187942,,,,,0.06,0.478927187942,,,,,0.06,0.478927187942,,,,
0.08,0.088289185951,,,,,0.08,0.0949525207398,,,,,0.08,0.0949525207398,,,,,0.08,0.187822749358,,,,,0.08,0.187822749358,,,,,0.08,0.194486084147,,,,,0.08,0.273613184763,,,,,0.08,0.273613184763,,,,,0.08,0.273613184763,,,,,0.08,0.379810082959,,,,,0.08,0.359820078593,,,,,0.08,0.353156743804,,,,,0.08,0.472263853153,,,,,0.08,0.512243861886,,,,,0.08,0.498917192308,,,,
0.1,0.101615855529,,,,,0.1,0.088289185951,,,,,0.1,0.101615855529,,,,,0.1,0.194486084147,,,,,0.1,0.181159414569,,,,,0.1,0.194486084147,,,,,0.1,0.280276519552,,,,,0.1,0.266949849974,,,,,0.1,0.266949849974,,,,,0.1,0.392720294112,,,,,0.1,0.346493409015,,,,,0.1,0.339830074226,,,,,0.1,0.465600518364,,,,,0.1,0.478927187942,,,,,0.1,0.465600518364,,,,
0.12,0.088289185951,,,,,0.12,0.0949525207398,,,,,0.12,0.101615855529,,,,,0.12,0.187822749358,,,,,0.12,0.181159414569,,,,,0.12,0.200732960511,,,,,0.12,0.266949849974,,,,,0.12,0.280276519552,,,,,0.12,0.280276519552,,,,,0.12,0.392720294112,,,,,0.12,0.346493409015,,,,,0.12,0.353156743804,,,,,0.12,0.505580527097,,,,,0.12,0.399383628901,,,,,0.12,0.40604696369,,,,
0.14,0.088289185951,,,,,0.14,0.0949525207398,,,,,0.14,0.088289185951,,,,,0.14,0.187822749358,,,,,0.14,0.181159414569,,,,,0.14,0.194486084147,,,,,0.14,0.280276519552,,,,,0.14,0.273613184763,,,,,0.14,0.273613184763,,,,,0.14,0.379810082959,,,,,0.14,0.353156743804,,,,,0.14,0.379810082959,,,,,0.14,0.48559052273,,,,,0.14,0.446026972422,,,,,0.14,0.452273848787,,,,
0.16,0.108279190317,,,,,0.16,0.0949525207398,,,,,0.16,0.0949525207398,,,,,0.16,0.187822749358,,,,,0.16,0.187822749358,,,,,0.16,0.194486084147,,,,,0.16,0.266949849974,,,,,0.16,0.266949849974,,,,,0.16,0.273613184763,,,,,0.16,0.37314674817,,,,,0.16,0.346493409015,,,,,0.16,0.333166739438,,,,,0.16,0.40604696369,,,,,0.16,0.472263853153,,,,,0.16,0.458937183575,,,,
0.18,0.108279190317,,,,,0.18,0.0949525207398,,,,,0.18,0.108279190317,,,,,0.18,0.194486084147,,,,,0.18,0.181159414569,,,,,0.18,0.194486084147,,,,,0.18,0.254039638821,,,,,0.18,0.273613184763,,,,,0.18,0.273613184763,,,,,0.18,0.392720294112,,,,,0.18,0.359820078593,,,,,0.18,0.346493409015,,,,,0.18,0.426036968056,,,,,0.18,0.40604696369,,,,,0.18,0.412710298478,,,,
0.2,0.0949525207398,,,,,0.2,0.0949525207398,,,,,0.2,0.088289185951,,,,,0.2,0.181159414569,,,,,0.2,0.187822749358,,,,,0.2,0.187822749358,,,,,0.2,0.273613184763,,,,,0.2,0.273613184763,,,,,0.2,0.273613184763,,,,,0.2,0.359820078593,,,,,0.2,0.359820078593,,,,,0.2,0.366483413382,,,,,0.2,0.465600518364,,,,,0.2,0.432700302845,,,,,0.2,0.439363637634,,,,
0.22,0.101615855529,,,,,0.22,0.0949525207398,,,,,0.22,0.101615855529,,,,,0.22,0.181159414569,,,,,0.22,0.194486084147,,,,,0.22,0.194486084147,,,,,0.22,0.273613184763,,,,,0.22,0.273613184763,,,,,0.22,0.273613184763,,,,,0.22,0.346493409015,,,,,0.22,0.346493409015,,,,,0.22,0.353156743804,,,,,0.22,0.419373633267,,,,,0.22,0.458937183575,,,,,0.22,0.452273848787,,,,
0.24,0.0816258511622,,,,,0.24,0.088289185951,,,,,0.24,0.101615855529,,,,,0.24,0.181159414569,,,,,0.24,0.181159414569,,,,,0.24,0.181159414569,,,,,0.24,0.266949849974,,,,,0.24,0.273613184763,,,,,0.24,0.273613184763,,,,,0.24,0.366483413382,,,,,0.24,0.359820078593,,,,,0.24,0.366483413382,,,,,0.24,0.432700302845,,,,,0.24,0.426036968056,,,,,0.24,0.412710298478,,,,
0.26,0.108279190317,,,,,0.26,0.101615855529,,,,,0.26,0.0949525207398,,,,,0.26,0.181159414569,,,,,0.26,0.181159414569,,,,,0.26,0.181159414569,,,,,0.26,0.266949849974,,,,,0.26,0.273613184763,,,,,0.26,0.266949849974,,,,,0.26,0.353156743804,,,,,0.26,0.359820078593,,,,,0.26,0.353156743804,,,,,0.26,0.458937183575,,,,,0.26,0.432700302845,,,,,0.26,0.452273848787,,,,
0.28,0.0949525207398,,,,,0.28,0.101615855529,,,,,0.28,0.0949525207398,,,,,0.28,0.187822749358,,,,,0.28,0.194486084147,,,,,0.28,0.187822749358,,,,,0.28,0.273613184763,,,,,0.28,0.273613184763,,,,,0.28,0.273613184763,,,,,0.28,0.346493409015,,,,,0.28,0.353156743804,,,,,0.28,0.346493409015,,,,,0.28,0.426036968056,,,,,0.28,0.452273848787,,,,,0.28,0.452273848787,,,,
0.3,0.0949525207398,,,,,0.3,0.088289185951,,,,,0.3,0.0949525207398,,,,,0.3,0.181159414569,,,,,0.3,0.194486084147,,,,,0.3,0.187822749358,,,,,0.3,0.280276519552,,,,,0.3,0.266949849974,,,,,0.3,0.266949849974,,,,,0.3,0.359820078593,,,,,0.3,0.353156743804,,,,,0.3,0.359820078593,,,,,0.3,0.432700302845,,,,,0.3,0.432700302845,,,,,0.3,0.419373633267,,,,
0.32,0.0949525207398,,,,,0.32,0.088289185951,,,,,0.32,0.0949525207398,,,,,0.32,0.187822749358,,,,,0.32,0.194486084147,,,,,0.32,0.181159414569,,,,,0.32,0.273613184763,,,,,0.32,0.266949849974,,,,,0.32,0.266949849974,,,,,0.32,0.346493409015,,,,,0.32,0.359820078593,,,,,0.32,0.359820078593,,,,,0.32,0.446026972422,,,,,0.32,0.426036968056,,,,,0.32,0.432700302845,,,,
0.34,0.088289185951,,,,,0.34,0.088289185951,,,,,0.34,0.101615855529,,,,,0.34,0.194486084147,,,,,0.34,0.187822749358,,,,,0.34,0.181159414569,,,,,0.34,0.273613184763,,,,,0.34,0.273613184763,,,,,0.34,0.280276519552,,,,,0.34,0.359820078593,,,,,0.34,0.353156743804,,,,,0.34,0.359820078593,,,,,0.34,0.432700302845,,,,,0.34,0.446026972422,,,,,0.34,0.426036968056,,,,
0.36,0.108279190317,,,,,0.36,0.0816258511622,,,,,0.36,0.0949525207398,,,,,0.36,0.187822749358,,,,,0.36,0.181159414569,,,,,0.36,0.181159414569,,,,,0.36,0.266949849974,,,,,0.36,0.266949849974,,,,,0.36,0.254039638821,,,,,0.36,0.353156743804,,,,,0.36,0.353156743804,,,,,0.36,0.346493409015,,,,,0.36,0.419373633267,,,,,0.36,0.432700302845,,,,,0.36,0.432700302845,,,,
