"Run 1: Time (s)","Run 1: Force (N)","Run 1: GateState","Run 1: Distance (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)","Run 2: Time (s)","Run 2: Force (N)","Run 2: GateState","Run 2: Distance (m)","Run 2: Velocity (m/s)","Run 2: Acceleration (m/s²)","Run 3: Time (s)","Run 3: Force (N)","Run 3: GateState","Run 3: Distance (m)","Run 3: Velocity (m/s)","Run 3: Acceleration (m/s²)","Run 4: Time (s)","Run 4: Force (N)","Run 4: GateState","Run 4: Distance (m)","Run 4: Velocity (m/s)","Run 4: Acceleration (m/s²)","Run 5: Time (s)","Run 5: Force (N)","Run 5: GateState","Run 5: Distance (m)","Run 5: Velocity (m/s)","Run 5: Acceleration (m/s²)","Run 6: Time (s)","Run 6: Force (N)","Run 6: GateState","Run 6: Distance (m)","Run 6: Velocity (m/s)","Run 6: Acceleration (m/s²)","Run 7: Time (s)","Run 7: Force (N)","Run 7: GateState","Run 7: Distance (m)","Run 7: Velocity (m/s)","Run 7: Acceleration (m/s²)","Run 8: Time (s)","Run 8: Force (N)","Run 8: GateState","Run 8: Distance (m)","Run 8: Velocity (m/s)","Run 8: Acceleration (m/s²)","Run 9: Time (s)","Run 9: Force (N)","Run 9: GateState","Run 9: Distance (m)","Run 9: Velocity (m/s)","Run 9: Acceleration (m/s²)","Run 10: Time (s)","Run 10: Force (N)","Run 10: GateState","Run 10: Distance (m)","Run 10: Velocity (m/s)","Run 10: Acceleration (m/s²)","Run 11: Time (s)","Run 11: Force (N)","Run 11: GateState","Run 11: Distance (m)","Run 11: Velocity (m/s)","Run 11: Acceleration (m/s²)","Run 12: Time (s)","Run 12: Force (N)","Run 12: GateState","Run 12: Distance (m)","Run 12: Velocity (m/s)","Run 12: Acceleration (m/s²)","Run 13: Time (s)","Run 13: Force (N)","Run 13: GateState","Run 13: Distance (m)","Run 13: Velocity (m/s)","Run 13: Acceleration (m/s²)","Run 14: Time (s)","Run 14: Force (N)","Run 14: GateState","Run 14: Distance (m)","Run 14: Velocity (m/s)","Run 14: Acceleration (m/s²)","Run 15: Time (s)","Run 15: Force (N)","Run 15: GateState","Run 15: Distance (m)","Run 15: Velocity (m/s)","Run 15: Acceleration (m/s²)"
0,-0.000406735525758,1,0,,,0,-0.00691450393788,1,0,,,0,-0.00691450393788,1,0,,,0,0.0972097906561,1,0,,,0,0.0841942538318,1,0,,,0,0.0776864854197,1,0,,,0,0.357520527141,1,0,,,0,0.357520527141,1,0,,,0,0.337997221905,1,0,,,0,0.748393367394,1,0,,,0,0.715854525333,1,0,,,0,0.709346756921,1,0,,,0,1.06727401959,1,0,,,0,1.04124294594,1,0,,,0,1.08720406035,1,0,,
0.017833,-0.000406735525758,0,,,,0.020663,-0.00691450393788,0,,,,0.020768,-0.00691450393788,0,,,,0.011068,0.0972097906561,0,,,,0.012852,0.0841942538318,0,,,,0.012843,0.0776864854197,0,,,,0.007703,0.357520527141,0,,,,0.007635,0.357520527141,0,,,,0.008594,0.337997221905,0,,,,0.004765,0.748393367394,0,,,,0.005069,0.715854525333,0,,,,0.004834,0.709346756921,0,,,,0.004655,1.06727401959,0,,,,0.004214,1.04124294594,0,,,,0.004936,1.08720406035,0,,,
0.04519,-0.00691450393788,1,0.01,0.222794308261,0.0666701796567,0.05215,-0.00691450393788,1,0.01,0.194266376701,0.0963306818886,0.052394,-0.000406735525758,1,0.01,0.193552563053,0.102722220874,0.028043,0.0907020222439,1,0.01,0.359140691906,0.181540002884,0.032412,0.0907020222439,1,0.01,0.312470163758,0.243271502548,0.032408,0.0776864854197,1,0.01,0.312545143725,0.245578715113,0.019455,0.357520527141,1,0.01,0.51968286203,0.583518883921,0.019404,0.357520527141,1,0.01,0.519533088315,0.430367975669,0.021709,0.357520527141,1,0.01,0.465757009574,0.471561535746,0.012026,0.748393367394,1,0.01,0.837463539727,0.986505632822,0.012809,0.715854525333,1,0.01,0.78627228105,0.86989015377,0.012195,0.709346756921,1,0.01,0.826477720413,1.06101194444,0.011794,1.06727401959,1,0.01,0.856403746145,1.44395271327,0.010725,1.04124294594,1,0.01,0.940609175309,1.53067466824,0.012563,1.08720406035,1,0.01,0.804520719848,1.35835397184
0.062737,-0.00691450393788,0,,,,0.072224,-0.00691450393788,0,,,,0.072539,-0.00691450393788,0,,,,0.038972,0.0907020222439,0,,,,0.044912,0.0907020222439,0,,,,0.044898,0.0776864854197,0,,,,0.026978,0.351012758729,0,,,,0.026928,0.377043832377,0,,,,0.030113,0.357520527141,0,,,,0.016711,0.748393367394,0,,,,0.017798,0.715854525333,0,,,,0.016944,0.709346756921,0,,,,0.016357,1.06727401959,0,,,,0.014919,1.04124294594,0,,,,0.017461,1.08720406035,0,,,
0.089777,-0.00691450393788,1,0.02,0.22628433568,0.089878922914,0.102985,-0.000406735525758,1,0.02,0.199537134962,0.111036614712,0.10337,-0.000406735525758,1,0.02,0.198954113123,0.109203001605,0.055694,0.0972097906561,1,0.02,0.365558877101,0.282688068031,0.064026,0.0841942538318,1,0.02,0.320382578017,0.257292441192,0.064011,0.0776864854197,1,0.02,0.320463201635,0.255516618193,0.038494,0.351012758729,1,0.02,0.532295404618,0.741397612544,0.038501,0.377043832377,1,0.02,0.529098861973,0.571441068505,0.042951,0.351012758729,1,0.02,0.475737384482,0.468121630438,0.023884,0.748393367394,1,0.02,0.850196860543,1.16112816985,0.025439,0.715854525333,1,0.02,0.800073053962,1.31550539841,0.024202,0.709346756921,1,0.02,0.840545235224,1.28220697966,0.023358,1.12625067082,1,0.02,0.876015883401,1.94797694014,0.021266,1.11974290241,1,0.02,0.959037934488,1.96591183751,0.024865,1.13926620765,1,0.02,0.824626077523,1.91027839268
0.107113,-0.00691450393788,0,,,,0.122613,-0.000406735525758,0,,,,0.123078,-0.000406735525758,0,,,,0.06642,0.0972097906561,0,,,,0.076285,0.0841942538318,0,,,,0.07624,0.0776864854197,0,,,,0.045863,0.351012758729,0,,,,0.045905,0.377043832377,0,,,,0.051203,0.351012758729,0,,,,0.028512,0.748393367394,0,,,,0.030349,0.715854525333,0,,,,0.028892,0.709346756921,0,,,,0.027836,1.12625067082,0,,,,0.025424,1.11974290241,0,,,,0.029695,1.13926620765,0,,,
0.133588,-0.00691450393788,1,0.03,0.229296207347,0.0476149333205,0.152421,-0.000406735525758,1,0.03,0.204375988826,0.084725739176,0.152958,-0.00691450393788,1,0.03,0.203667411643,0.0808953496052,0.082766,0.0907020222439,1,0.03,0.371692608157,0.170454001727,0.094857,0.0907020222439,1,0.03,0.326983410123,0.170902045267,0.094837,0.0972097906561,1,0.03,0.327235932271,0.183900149221,0.057041,0.337997221905,1,0.03,0.543639162946,0.481846936711,0.057212,0.377043832377,1,0.03,0.53629192905,0.197418647907,0.063758,0.351012758729,1,0.03,0.484196715285,0.345001914772,0.035553,0.748393367394,1,0.03,0.860955128748,0.682777598351,0.037812,0.715854525333,1,0.03,0.812727411486,0.729973874856,0.035993,0.709346756921,1,0.03,0.8530813745,0.844184212925,0.034632,1.12625067082,1,0.03,0.894787817341,1.3821514863,0.031584,1.11974290241,1,0.03,0.971783959186,0.504726793642,0.036826,1.13926620765,1,0.03,0.841792708551,0.960155689457
0.150919,-0.00691450393788,0,,,,0.171783,-0.000406735525758,0,,,,0.172446,-0.00691450393788,0,,,,0.093456,0.0907020222439,0,,,,0.106997,0.0907020222439,0,,,,0.106967,0.0972097906561,0,,,,0.064344,0.337997221905,0,,,,0.064611,0.377043832377,0,,,,0.071958,0.351012758729,0,,,,0.040177,0.748393367394,0,,,,0.042702,0.715854525333,0,,,,0.040657,0.709346756921,0,,,,0.039066,1.12625067082,0,,,,0.035735,1.11974290241,0,,,,0.041608,1.13926620765,0,,,
0.177004,-0.00691450393788,1,0.04,0.233591665287,0.150259488066,0.200864,-0.000406735525758,1,0.04,0.210365298993,0.162546732283,0.201588,-0.000406735525758,1,0.04,0.209653780145,0.165305287961,0.109506,0.0907020222439,1,0.04,0.378875810045,0.366808667562,0.125199,0.0711787170076,1,0.04,0.336071569747,0.428146113998,0.125138,0.0972097906561,1,0.04,0.336158781952,0.405047389239,0.075288,0.337997221905,1,0.04,0.55755743658,1.04369409847,0.075795,0.377043832377,1,0.04,0.546677770053,0.920360074939,0.084261,0.377043832377,1,0.04,0.496516647086,0.856766782594,0.047115,0.722362293745,1,0.04,0.877506630622,2.18030869706,0.050049,0.774424441042,1,0.04,0.829727011222,2.04841947898,0.047648,0.76791667263,1,0.04,0.87080138231,2.19657216808,0.045713,1.12625067082,1,0.04,0.918387406902,2.87731779638,0.041847,1.11974290241,1,0.04,0.991085840927,3.25672341412,0.048626,1.13926620765,1,0.04,0.86494720037,2.96433444945
0.193896,-0.00691450393788,0,,,,0.219589,-0.000406735525758,0,,,,0.220385,-0.000406735525758,0,,,,0.119928,0.0907020222439,0,,,,0.136932,0.0711787170076,0,,,,0.13688,0.0972097906561,0,,,,0.082359,0.337997221905,0,,,,0.083019,0.377043832377,0,,,,0.092229,0.377043832377,0,,,,0.051619,0.722362293745,0,,,,0.05481,0.774424441042,0,,,,0.0522,0.76791667263,0,,,,0.050012,1.12625067082,0,,,,0.04586,1.11974290241,0,,,,0.053216,1.13926620765,0,,,
0.21924,-0.000406735525758,1,0.05,0.236756437413,-0.000398131592391,0.247558,-0.000406735525758,1,0.05,0.215014255548,0.0365776329346,0.248421,-0.000406735525758,1,0.05,0.214551365561,0.0438457557889,0.135571,0.0841942538318,1,0.05,0.384114172151,0.0351373984719,0.154411,0.0776864854197,1,0.05,0.343401507537,0.0736981821872,0.154371,0.0972097906561,1,0.05,0.343381016078,0.0890677632439,0.092932,0.337997221905,1,0.05,0.568107437468,0.152179953612,0.093814,0.377043832377,1,0.05,0.556773484732,0.200203183661,0.104063,0.377043832377,1,0.05,0.507852127409,0.288115585107,0.058354,0.722362293745,1,0.05,0.89027435543,0.0917305961458,0.061927,0.774424441042,1,0.05,0.843353133423,0.245926741142,0.05897,0.76791667263,1,0.05,0.884293098363,0.186702174426,0.056422,1.12625067082,1,0.05,0.936343395527,0.476121110223,0.051775,1.11974290241,1,0.05,1.01089285429,0.733408205704,0.059967,1.13926620765,1,0.05,0.886938488332,0.913857590247
0.236195,-0.000406735525758,0,,,,0.266158,-0.000406735525758,0,,,,0.267053,-0.000406735525758,0,,,,0.145999,0.0841942538318,0,,,,0.166051,0.0776864854197,0,,,,0.166011,0.0972097906561,0,,,,0.099978,0.337997221905,0,,,,0.100982,0.377043832377,0,,,,0.111941,0.351012758729,0,,,,0.062859,0.722362293745,0,,,,0.066678,0.774424441042,0,,,,0.063511,0.76791667263,0,,,,0.060704,1.12625067082,0,,,,0.055725,1.11974290241,0,,,,0.064463,1.13926620765,0,,,
0.261479,-0.00691450393788,1,0.06,0.239162100178,0.114305315267,0.293884,-0.00691450393788,1,0.06,0.218812134318,0.127385531158,0.29481,-0.00691450393788,1,0.06,0.218768204554,0.13795764558,0.161574,0.0841942538318,1,0.06,0.388691642499,0.316935081461,0.183441,0.0776864854197,1,0.06,0.3489642347,0.309541718777,0.183384,0.0972097906561,1,0.06,0.349094594375,0.304795559879,0.110493,0.351012758729,1,0.06,0.577046218943,0.865846522651,0.111717,0.364028295553,1,0.06,0.56395798351,0.602399595566,0.123645,0.351012758729,1,0.06,0.518199654613,0.768725105756,0.06958,0.774424441042,1,0.06,0.900413009359,1.71455016799,0.073764,0.754901135806,1,0.06,0.85489700099,1.70454509574,0.070265,0.748393367394,1,0.06,0.894602012427,1.63869208204,0.067073,1.05425848276,1,0.06,0.950627994108,2.20618075458,0.061632,1.11974290241,1,0.06,1.02710098506,2.55524569888,0.071177,1.05425848276,1,0.06,0.905270206769,2.35674337985
0.277998,-0.00691450393788,0,,,,0.311898,-0.00691450393788,0,,,,0.312847,-0.00691450393788,0,,,,0.171738,0.0841942538318,0,,,,0.194744,0.0776864854197,0,,,,0.194694,0.0972097906561,0,,,,0.117331,0.351012758729,0,,,,0.118713,0.364028295553,0,,,,0.131251,0.351012758729,0,,,,0.073963,0.774424441042,0,,,,0.078382,0.754901135806,0,,,,0.074688,0.748393367394,0,,,,0.071227,1.05425848276,0,,,,0.065528,1.01521187229,0,,,,0.075595,1.05425848276,0,,,
0.302882,-0.00691450393788,1,0.07,0.244120036724,0.125191172711,0.338993,-0.00691450393788,1,0.07,0.224776640729,0.137063089353,0.33988,-0.000406735525758,1,0.07,0.224979270506,0.137660989924,0.187037,0.0841942538318,1,0.07,0.39743913397,0.370139612918,0.211742,0.0972097906561,1,0.07,0.357760203436,0.312059548777,0.21168,0.0972097906561,1,0.07,0.358397711252,0.352761471284,0.127603,0.351012758729,1,0.07,0.591403310624,0.812364077199,0.129284,0.364028295553,1,0.07,0.577179636632,0.902883392153,0.142674,0.370536063965,1,0.07,0.533902082374,0.88164304405,0.080571,0.774424441042,1,0.07,0.919441022285,1.74792147717,0.085328,0.754901135806,1,0.07,0.874211677213,1.63593851261,0.081331,0.748393367394,1,0.07,0.91266600645,1.62608182423,0.077467,1.05425848276,1,0.07,0.974441997513,2.37607889618,0.071253,1.01521187229,1,0.07,1.04979547191,2.16245242989,0.082069,1.05425848276,1,0.07,0.929421235791,2.07789287102
0.319441,-0.00691450393788,0,,,,0.35695,-0.00691450393788,0,,,,0.357811,-0.000406735525758,0,,,,0.19719,0.0841942538318,0,,,,0.223027,0.0972097906561,0,,,,0.222914,0.0972097906561,0,,,,0.134429,0.351012758729,0,,,,0.136277,0.337997221905,0,,,,0.150226,0.370536063965,0,,,,0.084963,0.774424441042,0,,,,0.089952,0.754901135806,0,,,,0.085771,0.748393367394,0,,,,0.081614,1.05425848276,0,,,,0.075145,1.01521187229,0,,,,0.086453,1.05425848276,0,,,
0.343424,-0.00691450393788,1,0.08,0.246990706748,0.0164234503467,0.382894,-0.00691450393788,1,0.08,0.228643143488,0.0390833655948,0.38374,-0.000406735525758,1,0.08,0.229020170844,0.046602591384,0.21191,0.0841942538318,1,0.08,0.401913189487,-0.0103876314801,0.239361,0.0841942538318,1,0.08,0.364115880645,0.148179939132,0.239209,0.0907020222439,1,0.08,0.364796725564,0.112131137376,0.14432,0.351012758729,1,0.08,0.599544416485,0.161627172539,0.146381,0.337997221905,1,0.08,0.587182218389,0.26721449126,0.161123,0.370536063965,1,0.08,0.544024899634,0.21574079896,0.091337,0.728870062158,1,0.08,0.929195573582,0.0641816804416,0.096647,0.754901135806,1,0.08,0.884567065214,0.193796976572,0.092183,0.774424441042,1,0.08,0.923282724156,0.330556160577,0.087604,1.17831281812,1,0.08,0.990075855397,0.708434842296,0.080687,1.01521187229,1,0.08,1.06265604612,0.563978397422,0.092702,1.06076625118,1,0.08,0.944771968066,0.809482709632
0.359862,-0.00691450393788,0,,,,0.400626,-0.00691450393788,0,,,,0.401443,-0.000406735525758,0,,,,0.222025,0.0841942538318,0,,,,0.250476,0.0841942538318,0,,,,0.250341,0.0907020222439,0,,,,0.151093,0.351012758729,0,,,,0.15327,0.337997221905,0,,,,0.168565,0.337997221905,0,,,,0.095708,0.728870062158,0,,,,0.10124,0.754901135806,0,,,,0.096584,0.774424441042,0,,,,0.091697,1.17831281812,0,,,,0.084522,1.01521187229,0,,,,0.097009,1.06076625118,0,,,
0.383857,-0.00691450393788,1,0.09,,,0.426468,0.0126088012985,1,0.09,,,0.427212,0.0126088012985,1,0.09,,,0.236799,0.0907020222439,1,0.09,,,0.266673,0.0972097906561,1,0.09,,,0.266507,0.0907020222439,1,0.09,,,0.160962,0.351012758729,1,0.09,,,0.163346,0.357520527141,1,0.09,,,0.179438,0.337997221905,1,0.09,,,0.102095,0.728870062158,1,0.09,,,0.107938,0.754901135806,1,0.09,,,0.102993,0.774424441042,1,0.09,,,0.097668,1.17831281812,1,0.09,,,0.090074,1.24339050224,1,0.09,,,0.103239,1.06076625118,1,0.09,,
0.400068,-0.00691450393788,0,,,,0.443849,0.0126088012985,0,,,,0.44456,0.0126088012985,0,,,,0.24676,0.0907020222439,0,,,,0.277629,0.0972097906561,0,,,,0.277416,0.0907020222439,0,,,,0.167619,0.351012758729,0,,,,0.170137,0.357520527141,0,,,,0.186774,0.337997221905,0,,,,0.106421,0.728870062158,0,,,,0.112468,0.754901135806,0,,,,0.107345,0.774424441042,0,,,,0.101713,1.17831281812,0,,,,0.093855,1.24339050224,0,,,,0.10748,1.06076625118,0,,,
