"10_1: Time (s)","10_1: Force (N)","10_1: GateState","10_1: Distance (m)","10_1: Velocity (m/s)","10_1: Acceleration (m/s²)","10_2: Time (s)","10_2: Force (N)","10_2: GateState","10_2: Distance (m)","10_2: Velocity (m/s)","10_2: Acceleration (m/s²)","10_3: Time (s)","10_3: Force (N)","10_3: GateState","10_3: Distance (m)","10_3: Velocity (m/s)","10_3: Acceleration (m/s²)","10_4: Time (s)","10_4: Force (N)","10_4: GateState","10_4: Distance (m)","10_4: Velocity (m/s)","10_4: Acceleration (m/s²)","20_1: Time (s)","20_1: Force (N)","20_1: GateState","20_1: Distance (m)","20_1: Velocity (m/s)","20_1: Acceleration (m/s²)","20_2: Time (s)","20_2: Force (N)","20_2: GateState","20_2: Distance (m)","20_2: Velocity (m/s)","20_2: Acceleration (m/s²)","20_3: Time (s)","20_3: Force (N)","20_3: GateState","20_3: Distance (m)","20_3: Velocity (m/s)","20_3: Acceleration (m/s²)","20_4: Time (s)","20_4: Force (N)","20_4: GateState","20_4: Distance (m)","20_4: Velocity (m/s)","20_4: Acceleration (m/s²)","30_1: Time (s)","30_1: Force (N)","30_1: GateState","30_1: Distance (m)","30_1: Velocity (m/s)","30_1: Acceleration (m/s²)","30_2: Time (s)","30_2: Force (N)","30_2: GateState","30_2: Distance (m)","30_2: Velocity (m/s)","30_2: Acceleration (m/s²)","30_3: Time (s)","30_3: Force (N)","30_3: GateState","30_3: Distance (m)","30_3: Velocity (m/s)","30_3: Acceleration (m/s²)","30_4: Time (s)","30_4: Force (N)","30_4: GateState","30_4: Distance (m)","30_4: Velocity (m/s)","30_4: Acceleration (m/s²)","40_1: Time (s)","40_1: Force (N)","40_1: GateState","40_1: Distance (m)","40_1: Velocity (m/s)","40_1: Acceleration (m/s²)","40_2: Time (s)","40_2: Force (N)","40_2: GateState","40_2: Distance (m)","40_2: Velocity (m/s)","40_2: Acceleration (m/s²)","40_3: Time (s)","40_3: Force (N)","40_3: GateState","40_3: Distance (m)","40_3: Velocity (m/s)","40_3: Acceleration (m/s²)","40_4: Time (s)","40_4: Force (N)","40_4: GateState","40_4: Distance (m)","40_4: Velocity (m/s)","40_4: Acceleration (m/s²)","50_1: Time (s)","50_1: Force (N)","50_1: GateState","50_1: Distance (m)","50_1: Velocity (m/s)","50_1: Acceleration (m/s²)","50_2: Time (s)","50_2: Force (N)","50_2: GateState","50_2: Distance (m)","50_2: Velocity (m/s)","50_2: Acceleration (m/s²)","50_3: Time (s)","50_3: Force (N)","50_3: GateState","50_3: Distance (m)","50_3: Velocity (m/s)","50_3: Acceleration (m/s²)","50_4: Time (s)","50_4: Force (N)","50_4: GateState","50_4: Distance (m)","50_4: Velocity (m/s)","50_4: Acceleration (m/s²)"
0,0.0419702267391,,,,,0,0.0356350981747,,,,,0,0.0479094097682,,,,,0,0.0479094097682,,,,,0,0.0922553097189,,,,,0,0.0922553097189,,,,,0,0.0985904382833,,,,,0,0.0795850525901,,,,,0,0.12987013557,,,,,0,0.12987013557,,,,,0,0.12987013557,,,,,0,0.12987013557,,,,,0,0.173820089985,,,,,0,0.192825475679,,,,,0,0.18015521855,,,,,0,0.167484961421,,,,,0,0.211830861372,,,,,0,0.218165989936,,,,,0,0.224105172965,,,,,0,0.218165989936,,,,
0.02,0.0419702267391,,,,,0.02,0.0479094097682,,,,,0.02,0.0542445383326,,,,,0.02,0.0419702267391,,,,,0.02,0.0859201811545,,,,,0.02,0.0859201811545,,,,,0.02,0.104529621312,,,,,0.02,0.0859201811545,,,,,0.02,0.12987013557,,,,,0.02,0.136205264134,,,,,0.02,0.136205264134,,,,,0.02,0.12987013557,,,,,0.02,0.18015521855,,,,,0.02,0.18015521855,,,,,0.02,0.173820089985,,,,,0.02,0.167484961421,,,,,0.02,0.224105172965,,,,,0.02,0.224105172965,,,,,0.02,0.224105172965,,,,,0.02,0.218165989936,,,,
0.04,0.0356350981747,,,,,0.04,0.0542445383326,,,,,0.04,0.0356350981747,,,,,0.04,0.0542445383326,,,,,0.04,0.0985904382833,,,,,0.04,0.0795850525901,,,,,0.04,0.0795850525901,,,,,0.04,0.0859201811545,,,,,0.04,0.12987013557,,,,,0.04,0.12987013557,,,,,0.04,0.123535007006,,,,,0.04,0.136205264134,,,,,0.04,0.18015521855,,,,,0.04,0.173820089985,,,,,0.04,0.173820089985,,,,,0.04,0.161545778392,,,,,0.04,0.224105172965,,,,,0.04,0.224105172965,,,,,0.04,0.23044030153,,,,,0.04,0.224105172965,,,,
0.06,0.0479094097682,,,,,0.06,0.0479094097682,,,,,0.06,0.0479094097682,,,,,0.06,0.0542445383326,,,,,0.06,0.0859201811545,,,,,0.06,0.0859201811545,,,,,0.06,0.0985904382833,,,,,0.06,0.0795850525901,,,,,0.06,0.123535007006,,,,,0.06,0.12987013557,,,,,0.06,0.123535007006,,,,,0.06,0.12987013557,,,,,0.06,0.18015521855,,,,,0.06,0.173820089985,,,,,0.06,0.161545778392,,,,,0.06,0.155210649827,,,,,0.06,0.218165989936,,,,,0.06,0.199160604243,,,,,0.06,0.224105172965,,,,,0.06,0.211830861372,,,,
0.08,0.0542445383326,,,,,0.08,0.0479094097682,,,,,0.08,0.0479094097682,,,,,0.08,0.0479094097682,,,,,0.08,0.0985904382833,,,,,0.08,0.0985904382833,,,,,0.08,0.0922553097189,,,,,0.08,0.0795850525901,,,,,0.08,0.123535007006,,,,,0.08,0.123535007006,,,,,0.08,0.136205264134,,,,,0.08,0.12987013557,,,,,0.08,0.18015521855,,,,,0.08,0.167484961421,,,,,0.08,0.173820089985,,,,,0.08,0.155210649827,,,,,0.08,0.186490347114,,,,,0.08,0.211830861372,,,,,0.08,0.224105172965,,,,,0.08,0.211830861372,,,,
0.1,0.0419702267391,,,,,0.1,0.060579666897,,,,,0.1,0.0419702267391,,,,,0.1,0.0356350981747,,,,,0.1,0.0795850525901,,,,,0.1,0.0922553097189,,,,,0.1,0.0922553097189,,,,,0.1,0.0732499240257,,,,,0.1,0.12987013557,,,,,0.1,0.12987013557,,,,,0.1,0.136205264134,,,,,0.1,0.12987013557,,,,,0.1,0.18015521855,,,,,0.1,0.155210649827,,,,,0.1,0.173820089985,,,,,0.1,0.167484961421,,,,,0.1,0.199160604243,,,,,0.1,0.211830861372,,,,,0.1,0.211830861372,,,,,0.1,0.23044030153,,,,
0.12,0.0419702267391,,,,,0.12,0.0479094097682,,,,,0.12,0.0479094097682,,,,,0.12,0.0542445383326,,,,,0.12,0.0922553097189,,,,,0.12,0.0795850525901,,,,,0.12,0.0795850525901,,,,,0.12,0.0859201811545,,,,,0.12,0.123535007006,,,,,0.12,0.123535007006,,,,,0.12,0.136205264134,,,,,0.12,0.12987013557,,,,,0.12,0.173820089985,,,,,0.12,0.173820089985,,,,,0.12,0.173820089985,,,,,0.12,0.155210649827,,,,,0.12,0.205495732807,,,,,0.12,0.218165989936,,,,,0.12,0.205495732807,,,,,0.12,0.224105172965,,,,
0.14,0.0356350981747,,,,,0.14,0.0479094097682,,,,,0.14,0.0479094097682,,,,,0.14,0.0479094097682,,,,,0.14,0.0859201811545,,,,,0.14,0.0795850525901,,,,,0.14,0.0985904382833,,,,,0.14,0.0859201811545,,,,,0.14,0.12987013557,,,,,0.14,0.123535007006,,,,,0.14,0.123535007006,,,,,0.14,0.136205264134,,,,,0.14,0.173820089985,,,,,0.14,0.161545778392,,,,,0.14,0.173820089985,,,,,0.14,0.161545778392,,,,,0.14,0.186490347114,,,,,0.14,0.18015521855,,,,,0.14,0.199160604243,,,,,0.14,0.211830861372,,,,
0.16,0.0479094097682,,,,,0.16,0.0479094097682,,,,,0.16,0.0479094097682,,,,,0.16,0.0419702267391,,,,,0.16,0.0859201811545,,,,,0.16,0.0985904382833,,,,,0.16,0.0922553097189,,,,,0.16,0.0859201811545,,,,,0.16,0.123535007006,,,,,0.16,0.123535007006,,,,,0.16,0.123535007006,,,,,0.16,0.136205264134,,,,,0.16,0.167484961421,,,,,0.16,0.148875521263,,,,,0.16,0.173820089985,,,,,0.16,0.148875521263,,,,,0.16,0.211830861372,,,,,0.16,0.199160604243,,,,,0.16,0.192825475679,,,,,0.16,0.205495732807,,,,
0.18,0.0419702267391,,,,,0.18,0.0479094097682,,,,,0.18,0.0419702267391,,,,,0.18,0.0419702267391,,,,,0.18,0.0922553097189,,,,,0.18,0.0985904382833,,,,,0.18,0.0922553097189,,,,,0.18,0.0795850525901,,,,,0.18,0.117199878441,,,,,0.18,0.123535007006,,,,,0.18,0.123535007006,,,,,0.18,0.123535007006,,,,,0.18,0.167484961421,,,,,0.18,0.167484961421,,,,,0.18,0.161545778392,,,,,0.18,0.161545778392,,,,,0.18,0.205495732807,,,,,0.18,0.205495732807,,,,,0.18,0.218165989936,,,,,0.18,0.199160604243,,,,
