"20g_1: Time (s)","20g_1: Force (N)","20g_1: GateState","20g_1: Distance (m)","20g_1: Velocity (m/s)","20g_1: Acceleration (m/s²)","20g_2: Time (s)","20g_2: Force (N)","20g_2: GateState","20g_2: Distance (m)","20g_2: Velocity (m/s)","20g_2: Acceleration (m/s²)","20g_3: Time (s)","20g_3: Force (N)","20g_3: GateState","20g_3: Distance (m)","20g_3: Velocity (m/s)","20g_3: Acceleration (m/s²)","100g_1: Time (s)","100g_1: Force (N)","100g_1: GateState","100g_1: Distance (m)","100g_1: Velocity (m/s)","100g_1: Acceleration (m/s²)","100g_2: Time (s)","100g_2: Force (N)","100g_2: GateState","100g_2: Distance (m)","100g_2: Velocity (m/s)","100g_2: Acceleration (m/s²)","100g_3: Time (s)","100g_3: Force (N)","100g_3: GateState","100g_3: Distance (m)","100g_3: Velocity (m/s)","100g_3: Acceleration (m/s²)","50g_1: Time (s)","50g_1: Force (N)","50g_1: GateState","50g_1: Distance (m)","50g_1: Velocity (m/s)","50g_1: Acceleration (m/s²)","50g_2: Time (s)","50g_2: Force (N)","50g_2: GateState","50g_2: Distance (m)","50g_2: Velocity (m/s)","50g_2: Acceleration (m/s²)","50g_3: Time (s)","50g_3: Force (N)","50g_3: GateState","50g_3: Distance (m)","50g_3: Velocity (m/s)","50g_3: Acceleration (m/s²)","200g_1: Time (s)","200g_1: Force (N)","200g_1: GateState","200g_1: Distance (m)","200g_1: Velocity (m/s)","200g_1: Acceleration (m/s²)","200g_2: Time (s)","200g_2: Force (N)","200g_2: GateState","200g_2: Distance (m)","200g_2: Velocity (m/s)","200g_2: Acceleration (m/s²)","200g_3: Time (s)","200g_3: Force (N)","200g_3: GateState","200g_3: Distance (m)","200g_3: Velocity (m/s)","200g_3: Acceleration (m/s²)","40g_1: Time (s)","40g_1: Force (N)","40g_1: GateState","40g_1: Distance (m)","40g_1: Velocity (m/s)","40g_1: Acceleration (m/s²)","40g_2: Time (s)","40g_2: Force (N)","40g_2: GateState","40g_2: Distance (m)","40g_2: Velocity (m/s)","40g_2: Acceleration (m/s²)","40g_3: Time (s)","40g_3: Force (N)","40g_3: GateState","40g_3: Distance (m)","40g_3: Velocity (m/s)","40g_3: Acceleration (m/s²)"
0,0.0653310133202,,,,,0,0.0653310133202,,,,,0,0.0776053249137,,,,,0,0.549968348496,,,,,0,0.455337365565,,,,,0,0.417722539714,,,,,0,0.21618626226,,,,,0,0.197180876567,,,,,0,0.209851133695,,,,,0,0.864349103504,,,,,0,0.870684232068,,,,,0,0.864349103504,,,,,0,0.1156160963,,,,,0,0.109280967736,,,,,0,0.121951224864,,,,
0.02,0.0589958847559,,,,,0.02,0.0776053249137,,,,,0.02,0.0776053249137,,,,,0.02,0.543633219932,,,,,0.02,0.46167249413,,,,,0.02,0.405052282586,,,,,0.02,0.209851133695,,,,,0.02,0.203516005131,,,,,0.02,0.209851133695,,,,,0.02,0.858013974939,,,,,0.02,0.864349103504,,,,,0.02,0.864349103504,,,,,0.02,0.1156160963,,,,,0.02,0.109280967736,,,,,0.02,0.128286353429,,,,
0.04,0.0589958847559,,,,,0.04,0.0839404534781,,,,,0.04,0.0653310133202,,,,,0.04,0.562242660089,,,,,0.04,0.46167249413,,,,,0.04,0.367437456734,,,,,0.04,0.203516005131,,,,,0.04,0.191241693537,,,,,0.04,0.197180876567,,,,,0.04,0.85207479191,,,,,0.04,0.883354489197,,,,,0.04,0.870684232068,,,,,0.04,0.109280967736,,,,,0.04,0.109280967736,,,,,0.04,0.1156160963,,,,
0.06,0.0653310133202,,,,,0.06,0.0902755820425,,,,,0.06,0.0653310133202,,,,,0.06,0.555907531525,,,,,0.06,0.449002237001,,,,,0.06,0.379711768328,,,,,0.06,0.209851133695,,,,,0.06,0.197180876567,,,,,0.06,0.209851133695,,,,,0.06,0.870684232068,,,,,0.06,0.883354489197,,,,,0.06,0.889689617761,,,,,0.06,0.109280967736,,,,,0.06,0.109280967736,,,,,0.06,0.1156160963,,,,
0.08,0.0589958847559,,,,,0.08,0.0966107106069,,,,,0.08,0.0653310133202,,,,,0.08,0.549968348496,,,,,0.08,0.474342751259,,,,,0.08,0.379711768328,,,,,0.08,0.209851133695,,,,,0.08,0.191241693537,,,,,0.08,0.197180876567,,,,,0.08,0.870684232068,,,,,0.08,0.870684232068,,,,,0.08,0.889689617761,,,,,0.08,0.1156160963,,,,,0.08,0.1156160963,,,,,0.08,0.109280967736,,,,
0.1,0.0776053249137,,,,,0.1,0.0839404534781,,,,,0.1,0.0776053249137,,,,,0.1,0.555907531525,,,,,0.1,0.468007622694,,,,,0.1,0.367437456734,,,,,0.1,0.209851133695,,,,,0.1,0.197180876567,,,,,0.1,0.203516005131,,,,,0.1,0.864349103504,,,,,0.1,0.883354489197,,,,,0.1,0.889689617761,,,,,0.1,0.128286353429,,,,,0.1,0.109280967736,,,,,0.1,0.109280967736,,,,
0.12,0.0653310133202,,,,,0.12,0.0839404534781,,,,,0.12,0.0776053249137,,,,,0.12,0.549968348496,,,,,0.12,0.46167249413,,,,,0.12,0.373772585299,,,,,0.12,0.209851133695,,,,,0.12,0.197180876567,,,,,0.12,0.209851133695,,,,,0.12,0.870684232068,,,,,0.12,0.896024746326,,,,,0.12,0.889689617761,,,,,0.12,0.1156160963,,,,,0.12,0.109280967736,,,,,0.12,0.128286353429,,,,
0.14,0.0589958847559,,,,,0.14,0.0839404534781,,,,,0.14,0.0653310133202,,,,,0.14,0.543633219932,,,,,0.14,0.455337365565,,,,,0.14,0.392382025457,,,,,0.14,0.203516005131,,,,,0.14,0.209851133695,,,,,0.14,0.209851133695,,,,,0.14,0.877019360632,,,,,0.14,0.90235987489,,,,,0.14,0.90235987489,,,,,0.14,0.1156160963,,,,,0.14,0.1156160963,,,,,0.14,0.1156160963,,,,
0.16,0.0653310133202,,,,,0.16,0.0902755820425,,,,,0.16,0.0716661418846,,,,,0.16,0.549968348496,,,,,0.16,0.468007622694,,,,,0.16,0.373772585299,,,,,0.16,0.209851133695,,,,,0.16,0.197180876567,,,,,0.16,0.197180876567,,,,,0.16,0.858013974939,,,,,0.16,0.90235987489,,,,,0.16,0.90235987489,,,,,0.16,0.1156160963,,,,,0.16,0.1156160963,,,,,0.16,0.121951224864,,,,
0.18,0.0653310133202,,,,,0.18,0.0902755820425,,,,,0.18,0.0716661418846,,,,,0.18,0.555907531525,,,,,0.18,0.468007622694,,,,,0.18,0.367437456734,,,,,0.18,0.21618626226,,,,,0.18,0.209851133695,,,,,0.18,0.203516005131,,,,,0.18,0.883354489197,,,,,0.18,0.90235987489,,,,,0.18,0.896024746326,,,,,0.18,0.1156160963,,,,,0.18,0.109280967736,,,,,0.18,0.128286353429,,,,
