"20_1: Time (s)","20_1: GateState","20_1: Velocity (m/s)","20_1: Force (N)","20_1: Distance (m)","20_1: Acceleration (m/s²)","20_2: Time (s)","20_2: GateState","20_2: Velocity (m/s)","20_2: Force (N)","20_2: Distance (m)","20_2: Acceleration (m/s²)","20_3: Time (s)","20_3: GateState","20_3: Velocity (m/s)","20_3: Force (N)","20_3: Distance (m)","20_3: Acceleration (m/s²)","40_1: Time (s)","40_1: GateState","40_1: Velocity (m/s)","40_1: Force (N)","40_1: Distance (m)","40_1: Acceleration (m/s²)","40_2: Time (s)","40_2: GateState","40_2: Velocity (m/s)","40_2: Force (N)","40_2: Distance (m)","40_2: Acceleration (m/s²)","40_3: Time (s)","40_3: GateState","40_3: Velocity (m/s)","40_3: Force (N)","40_3: Distance (m)","40_3: Acceleration (m/s²)","70_1: Time (s)","70_1: GateState","70_1: Velocity (m/s)","70_1: Force (N)","70_1: Distance (m)","70_1: Acceleration (m/s²)","70_2: Time (s)","70_2: GateState","70_2: Velocity (m/s)","70_2: Force (N)","70_2: Distance (m)","70_2: Acceleration (m/s²)","70_3: Time (s)","70_3: GateState","70_3: Velocity (m/s)","70_3: Force (N)","70_3: Distance (m)","70_3: Acceleration (m/s²)","100_1: Time (s)","100_1: GateState","100_1: Velocity (m/s)","100_1: Force (N)","100_1: Distance (m)","100_1: Acceleration (m/s²)","100_2: Time (s)","100_2: GateState","100_2: Velocity (m/s)","100_2: Force (N)","100_2: Distance (m)","100_2: Acceleration (m/s²)","100_3: Time (s)","100_3: GateState","100_3: Velocity (m/s)","100_3: Force (N)","100_3: Distance (m)","100_3: Acceleration (m/s²)","150_1: Time (s)","150_1: GateState","150_1: Velocity (m/s)","150_1: Force (N)","150_1: Distance (m)","150_1: Acceleration (m/s²)","150_2: Time (s)","150_2: GateState","150_2: Velocity (m/s)","150_2: Force (N)","150_2: Distance (m)","150_2: Acceleration (m/s²)","150_3: Time (s)","150_3: GateState","150_3: Velocity (m/s)","150_3: Force (N)","150_3: Distance (m)","150_3: Acceleration (m/s²)"
0,,,9.95446594493,,,0,,,9.9608010735,,,0,,,9.95446594493,,,0,,,10.0490969279,,,0,,,10.0427617993,,,0,,,10.0490969279,,,0,,,10.1750076081,,,0,,,10.1686724795,,,0,,,10.1872819197,,,0,,,10.3385331141,,,0,,,10.2692426455,,,0,,,10.3195277285,,,0,,,10.3888181971,,,0,,,10.6719192548,,,0,,,10.6655841263,,
0.01,,,9.95446594493,,,0.01,,,9.9608010735,,,0.01,,,9.96713620206,,,0.01,,,10.0554320564,,,0.01,,,10.0490969279,,,0.01,,,10.0427617993,,,0.01,,,10.1686724795,,,0.01,,,10.1686724795,,,0.01,,,10.1872819197,,,0.01,,,10.3385331141,,,0.01,,,10.2629075169,,,0.01,,,10.3385331141,,,0.01,,,10.3824830686,,,0.01,,,10.6719192548,,,0.01,,,10.6719192548,,
0.02,,,9.9608010735,,,0.02,,,9.95446594493,,,0.02,,,9.95446594493,,,0.02,,,10.0554320564,,,0.02,,,10.0427617993,,,0.02,,,10.0554320564,,,0.02,,,10.1750076081,,,0.02,,,10.1750076081,,,0.02,,,10.1936170482,,,0.02,,,10.3321979856,,,0.02,,,10.2565723883,,,0.02,,,10.3321979856,,,0.02,,,10.3824830686,,,0.02,,,10.6782543834,,,0.02,,,10.6592489977,,
0.03,,,9.95446594493,,,0.03,,,9.9608010735,,,0.03,,,9.96713620206,,,0.03,,,10.0613712395,,,0.03,,,10.0427617993,,,0.03,,,10.0490969279,,,0.03,,,10.1686724795,,,0.03,,,10.1809467911,,,0.03,,,10.1809467911,,,0.03,,,10.3131925999,,,0.03,,,10.2565723883,,,0.03,,,10.3005223428,,,0.03,,,10.4014884543,,,0.03,,,10.6719192548,,,0.03,,,10.6655841263,,
0.04,,,9.9608010735,,,0.04,,,9.96713620206,,,0.04,,,9.96713620206,,,0.04,,,10.0427617993,,,0.04,,,10.0554320564,,,0.04,,,10.0490969279,,,0.04,,,10.1686724795,,,0.04,,,10.1686724795,,,0.04,,,10.1872819197,,,0.04,,,10.3131925999,,,0.04,,,10.2502372598,,,0.04,,,10.2882480312,,,0.04,,,10.4141587114,,,0.04,,,10.6719192548,,,0.04,,,10.6533098147,,
0.05,,,9.95446594493,,,0.05,,,9.96713620206,,,0.05,,,9.95446594493,,,0.05,,,10.0490969279,,,0.05,,,10.0613712395,,,0.05,,,10.0427617993,,,0.05,,,10.1686724795,,,0.05,,,10.1686724795,,,0.05,,,10.1999521768,,,0.05,,,10.3068574713,,,0.05,,,10.2565723883,,,0.05,,,10.2819129026,,,0.05,,,10.4200978944,,,0.05,,,10.6719192548,,,0.05,,,10.6533098147,,
0.06,,,9.95446594493,,,0.06,,,9.9608010735,,,0.06,,,9.95446594493,,,0.06,,,10.067706368,,,0.06,,,10.0554320564,,,0.06,,,10.0554320564,,,0.06,,,10.162337351,,,0.06,,,10.1686724795,,,0.06,,,10.1936170482,,,0.06,,,10.3131925999,,,0.06,,,10.2379629482,,,0.06,,,10.2945831597,,,0.06,,,10.4014884543,,,0.06,,,10.6592489977,,,0.06,,,10.6533098147,,
0.07,,,9.95446594493,,,0.07,,,9.96713620206,,,0.07,,,9.9608010735,,,0.07,,,10.0613712395,,,0.07,,,10.0490969279,,,0.07,,,10.0613712395,,,0.07,,,10.162337351,,,0.07,,,10.1809467911,,,0.07,,,10.1750076081,,,0.07,,,10.3131925999,,,0.07,,,10.2379629482,,,0.07,,,10.3195277285,,,0.07,,,10.4078235828,,,0.07,,,10.6719192548,,,0.07,,,10.6533098147,,
0.08,,,9.95446594493,,,0.08,,,9.96713620206,,,0.08,,,9.95446594493,,,0.08,,,10.0613712395,,,0.08,,,10.0490969279,,,0.08,,,10.0427617993,,,0.08,,,10.1686724795,,,0.08,,,10.1750076081,,,0.08,,,10.1809467911,,,0.08,,,10.3131925999,,,0.08,,,10.2316278196,,,0.08,,,10.3195277285,,,0.08,,,10.4078235828,,,0.08,,,10.6655841263,,,0.08,,,10.6533098147,,
0.09,,,9.94813081637,,,0.09,,,9.94813081637,,,0.09,,,9.95446594493,,,0.09,,,10.0613712395,,,0.09,,,10.0554320564,,,0.09,,,10.0427617993,,,0.09,,,10.162337351,,,0.09,,,10.1686724795,,,0.09,,,10.1936170482,,,0.09,,,10.3195277285,,,0.09,,,10.2252926911,,,0.09,,,10.3195277285,,,0.09,,,10.3888181971,,,0.09,,,10.6533098147,,,0.09,,,10.6592489977,,
