state,energy
"(1, 1, 2)",6
"(1, 2, 1)",6
"(2, 1, 1)",6
"(1, 2, 2)",9
"(2, 1, 2)",9
"(2, 2, 1)",9
"(1, 1, 3)",11
"(1, 3, 1)",11
"(3, 1, 1)",11
"(1, 2, 3)",14
"(1, 3, 2)",14
"(2, 1, 3)",14
"(2, 3, 1)",14
"(3, 1, 2)",14
"(3, 2, 1)",14
"(2, 2, 3)",17
"(2, 3, 2)",17
"(3, 2, 2)",17
"(1, 1, 4)",18
"(1, 4, 1)",18
"(4, 1, 1)",18
"(1, 3, 3)",19
"(3, 1, 3)",19
"(3, 3, 1)",19
"(1, 2, 4)",21
"(1, 4, 2)",21
"(2, 1, 4)",21
"(2, 4, 1)",21
"(4, 1, 2)",21
"(4, 2, 1)",21
"(2, 3, 3)",22
"(3, 2, 3)",22
"(3, 3, 2)",22
"(2, 2, 4)",24
"(2, 4, 2)",24
"(4, 2, 2)",24
"(1, 3, 4)",26
"(1, 4, 3)",26
"(3, 1, 4)",26
"(3, 4, 1)",26
"(4, 1, 3)",26
"(4, 3, 1)",26
"(1, 1, 5)",27
"(1, 5, 1)",27
"(3, 3, 3)",27
"(5, 1, 1)",27
