"V1" "V2" "V3"
"408" 1 1 0
"442" 1 0 0
"443" 0 1 0
"444" 1 1 0
"445" 1 0 1
"450" 0 1 1
"451" 1 1 1
"452" 1 1 1
"453" 1 1 1
"454" 1 1 1
"488" 0 0 0
"489" 1 0 0
"490" 1 0 0
"494" 1 1 1
"495" 1 1 1
"496" 1 1 1
"497" 1 1 1
"531" 0 0 1
"532" 0 0 0
"533" 0 0 0
"534" 0 0 0
"535" 0 0 0
"536" 1 1 1
"539" 1 1 1
"540" 0 1 1
"541" 0 1 0
"543" 0 0 0
"576" 0 0 0
"577" 0 1 0
"579" 0 0 0
"581" 0 0 0
"582" 1 0 1
"583" 1 1 1
"618" 0 0 0
"619" 0 0 1
"622" 0 0 0
"623" 0 0 0
"624" 0 0 0
"625" 0 0 0
"626" 0 0 0
"627" 0 1 0
"628" 1 1 1
"662" 1 1 1
"663" 1 1 1
"666" 0 0 0
"667" 0 0 0
"668" 0 0 0
"669" 0 0 0
"670" 0 0 0
"671" 1 1 1
"673" 1 1 1
"706" 0 0 0
"708" 0 1 0
"713" 0 0 0
"714" 0 0 0
"754" 1 1 1
"798" 1 1 1
"800" 0 0 1
"801" 1 0 1
"802" 1 1 1
"841" 0 1 1
"842" 0 1 0
"846" 1 1 1
"847" 1 1 1
"849" 0 0 0
"892" 1 1 1
"893" 1 1 0
"894" 1 1 1
"935" 0 1 0
"936" 1 1 0
"938" 0 0 1
"1057" 0 1 0
"1061" 0 0 0
"1063" 0 0 0
"1064" 0 0 0
"1067" 1 1 0
"1069" 0 0 0
"1070" 0 0 0
"1071" 1 0 0
"1076" 0 0 0
